triple,beta12,beta13,beta23,k,alpha=2/3+1e-k,K=1-4cos^2(alpha pi/2),T_alpha,T*K^3/27,(T*K^3-27)/K,9*sum(beta)-27,evidence
"all_antagonistic_(3,3,3)",3,3,3,7,0.6666667666666666666666667,5.44139759922234e-7,167584116753739080632.8560059689982,1.0000010882792237564,53.9999853082265,54.0,HP(55 digits)
"all_antagonistic_(3,3,3)",3,3,3,8,0.6666666766666666666666667,5.44139804335463e-8,167583911578342204889003.72017791798,1.0000001088279579062,53.9999985308225,54.0,HP(55 digits)
"all_antagonistic_(3,3,3)",3,3,3,9,0.6666666676666666666666667,5.44139808776785e-9,167583891060802517315595137.66863317,1.0000000108827961459,53.9999998530823,54.0,HP(55 digits)
"all_antagonistic_(3,3,3)",3,3,3,10,0.6666666667666666666666667,5.44139809220917e-10,167583889009048548558255256064.94917,1.0000000010882796181,53.9999999853082,54.0,HP(55 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,1,0.7666666666666666666666667,0.486289650954788,346.78466598845528055510530955658536,1.477002407029958423,26.4843493266244,40.5,HP(55 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,2,0.6766666666666666666666667,0.0539115909933551,185736.55222290654714406125699637236,1.0779039442398240211,39.0158490172272,40.5,HP(55 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,3,0.6676666666666666666666667,0.00543645434382414,169406717.63202606329879959446209868,1.0081243366583095946,40.3492931056343,40.5,HP(55 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,4,0.6667666666666666666666667,0.000544090452297925,167766257275.86338045389423437077034,1.0008158314528285609,40.4849030769422,40.5,HP(55 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,5,0.6666766666666666666666667,5.44134874378558e-5,167602126497661.44815733760071259361,1.0000816171881160211,40.4984900416339,40.5,HP(55 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,6,0.6666676666666666666666667,5.4413931578915e-6,167585712561416634.37576253961356617,1.0000081620593056443,40.499849001499,40.5,HP(55 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,7,0.6666667666666666666666667,5.44139759922234e-7,167584071159196793327.81397486992863,1.0000008162093355706,40.4999849001233,40.5,HP(55 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,8,0.6666666766666666666666667,5.44139804335463e-8,167583907018888844501249.93138973423,1.0000000816209676072,40.4999984900121,40.5,HP(55 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,9,0.6666666676666666666666667,5.44139808776785e-9,167583890604857189960249601.80803949,1.0000000081620971012,40.4999998490012,40.5,HP(55 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,10,0.6666666667666666666666667,5.44139809220917e-10,167583888963454015909555003247.94705,1.0000000008162097135,40.4999999849001,40.5,HP(55 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,1,0.7666666666666666666666667,0.486289650954788,167.4865454411666829732382154413494,0.71334766217711338784,-15.9156443202562,-13.5,HP(55 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,2,0.6766666666666666666666667,0.0539115909933551,167583.76650227595586473133708473602,0.97255602487215249446,-13.7444900957053,-13.5,HP(55 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,3,0.6676666666666666666666667,0.00543645434382414,167583888.65634795577326571845190468,0.99727684325525203137,-13.524482587023,-13.5,HP(55 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,4,0.6667666666666666666666667,0.000544090452297925,167583888780.95091256998623991197239,0.99972790543105110938,-13.5024485921273,-13.5,HP(55 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,5,0.6666766666666666666666667,5.44134874378558e-5,167583888781075.76036571596935320284,0.9999727927628060734,-13.5002448625441,-13.5,HP(55 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,6,0.6666676666666666666666667,5.4413931578915e-6,167583888781075885.23799554237625001,0.99999727929848625727,-13.5000244862877,-13.5,HP(55 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,7,0.6666667666666666666666667,5.44139759922234e-7,167583888781075885362.87027033355236,0.99999972793007069087,-13.5000024486291,-13.5,HP(55 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,8,0.6666666766666666666666667,5.44139804335463e-8,167583888781075885362995.14530634809,0.99999997279300928975,-13.5000002448629,-13.5,HP(55 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,9,0.6666666676666666666666667,5.44139808776785e-9,167583888781075885362995270.18134537,0.99999999727930095118,-13.5000000244863,-13.5,HP(55 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,10,0.6666666667666666666666667,5.44139809220917e-10,167583888781075885362995270306.22037,0.99999999972793009534,-13.5000000024486,-13.5,HP(55 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,1,0.7666666666666666666666667,0.486289650954788,166.92055261966297118689497609411641,0.71093702283312783204,-16.0494889582406,-13.5,HP(55 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,2,0.6766666666666666666666667,0.0539115909933551,167578.75728445700090601260662369264,0.97252695436567443756,-13.7590491851412,-13.5,HP(55 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,3,0.6676666666666666666666667,0.00543645434382414,167583838.9915235158054629461965705,0.9972765477042910444,-13.5259504326889,-13.5,HP(55 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,4,0.6667666666666666666666667,0.000544090452297925,167583888284.70988432412468636896047,0.99972790247070684619,-13.5025954965525,-13.5,HP(55 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,5,0.6666766666666666666666667,5.44134874378558e-5,167583888776113.75530468340526892051,0.99997279273319779724,-13.5002595541857,-13.5,HP(55 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,6,0.6666676666666666666666667,5.4413931578915e-6,167583888781026265.59240735745012216,0.99999727929819016967,-13.5000259554639,-13.5,HP(55 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,7,0.6666667666666666666666667,5.44139759922234e-7,167583888781075389166.81939069834366,0.99999972793006772999,-13.5000025955468,-13.5,HP(55 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,8,0.6666666766666666666666667,5.44139804335463e-8,167583888781075880401035.04151021741,0.99999997279300926014,-13.5000002595547,-13.5,HP(55 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,9,0.6666666676666666666666667,5.44139808776785e-9,167583888781075885313375669.54838409,0.99999999727930095089,-13.5000000259555,-13.5,HP(55 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,10,0.6666666667666666666666667,5.44139809220917e-10,167583888781075885362499074300.29576,0.99999999972793009534,-13.5000000025955,-13.5,HP(55 digits)
"mixed_(3,0.5,1)",3,0.5,1,1,0.7666666666666666666666667,0.486289650954788,252.41273744479323084097756061018808,1.0750597051583352933,4.16749983327009,13.5,HP(55 digits)
"mixed_(3,0.5,1)",3,0.5,1,2,0.6766666666666666666666667,0.0539115909933551,176611.04206905439065974215112693636,1.0249449371390951705,12.4929220293013,13.5,HP(55 digits)
"mixed_(3,0.5,1)",3,0.5,1,3,0.6676666666666666666666667,0.00543645434382414,168494819.57948470131680236975445157,1.0026977123061683695,13.3981134872016,13.5,HP(55 digits)
"mixed_(3,0.5,1)",3,0.5,1,4,0.6667666666666666666666667,0.000544090452297925,167675068203.09542024726027276366105,1.0002718396563637261,13.4897987840479,13.5,HP(55 digits)
"mixed_(3,0.5,1)",3,0.5,1,5,0.6666766666666666666666667,5.44134874378558e-5,167593007591126.13877350024779661257,1.0000272046875983339,13.4989797519209,13.5,HP(55 digits)
"mixed_(3,0.5,1)",3,0.5,1,6,0.6666676666666666666666667,5.4413931578915e-6,167584800670763845.83592111611215684,1.0000027206760173169,13.4998979739264,13.5,HP(55 digits)
"mixed_(3,0.5,1)",3,0.5,1,7,0.6666667666666666666666667,5.44139759922234e-7,167583979970131515216.31968553567468,1.0000002720696743444,13.49998979738,13.5,HP(55 digits)
"mixed_(3,0.5,1)",3,0.5,1,8,0.6666666766666666666666667,5.44139804335463e-8,167583897899982316690843.00144159827,1.0000000272069881606,13.4999989797379,13.5,HP(55 digits)
"mixed_(3,0.5,1)",3,0.5,1,9,0.6666666676666666666666667,5.44139808776785e-9,167583889692966537179209651.31312443,1.0000000027206990233,13.4999998979738,13.5,HP(55 digits)
"mixed_(3,0.5,1)",3,0.5,1,10,0.6666666667666666666666667,5.44139809220917e-10,167583888872264950631451008940.95553,1.0000000002720699044,13.4999999897974,13.5,HP(55 digits)
