mode,status,strictP,class,mismatch,kappa,T1,T_alpha,gap_cain,gap_frac,direct_min_margin_alpha,direct_min_margin_alpha1,float_err_est,X,Y,Z,s,a,K,r,m,q1,q2,h,e1,e2,e3,mu1,mu2,c1,c2
boundary,feasible,True,classical,False,17.71309470303006,17.71367222186481,39.01386341619422,-3.26029988315657e-05,-0.5459794762167145,0.1570876052705117,7.97259102203185e-06,1.4820937842433995e-15,0.9644435125344919,0.047344301087300804,0.0024771534451192294,0.04742446415154234,0.47301329501000666,1.0927849235785549,0.10601409441274548,0.20152123575138972,0.068886369704222447,1.3510641028419037,0.064195313271715945,0.52036410849590853,0.0012776992971782724,0.52549971236989335,0.03214867899176229,0.0031333395082744553,0.047814330856567992,0.051945337937514394
lognormal:0.02,feasible,True,classical,False,18.17298797807764,18.173626059609756,39.926321201890126,-3.5110303800878206e-05,-0.5448369038012617,0.15708824042978997,8.607750300315686e-06,1.463418209236798e-15,0.9679410229537749,0.03922918987125702,0.00252582448562532,0.046482935202660274,0.50432470836913401,1.0949150444102449,0.10662110531603343,0.20407013788956069,0.072583877263573737,1.4125331445563134,0.067137992811329109,0.49471612349204847,0.0012765891300518944,0.49654004995380224,0.032553308961947053,0.0029282775170880568,0.05185780317671225,0.049452855756932985
lognormal:0.02,feasible,True,frac_only,False,17.881022711342354,17.880314201647188,39.34250974765801,3.962512555300002e-05,-0.5455037610454738,0.15706993370386058,-9.698975629079953e-06,1.4748595679208304e-15,0.9689251754534963,0.041026560673593865,0.0024136215022396417,0.04903363645984758,0.4943350435485761,1.0878777230633709,0.11088518015773305,0.20791870509632374,0.071806692476810541,1.3919861905480597,0.067853733064942287,0.50490082294483685,0.0012452329830324948,0.504399922466645,0.032922896253372684,0.0029615132325969918,0.04977172893243785,0.050596832142883658
m_sweep,feasible,True,classical,False,17.76261779537527,17.763337655157404,39.10977699254477,-4.052502947970993e-05,-0.5458266663407148,0.1570895461741868,9.913494697144642e-06,1.479479267051076e-15,0.9692539673528652,0.041544367774361976,0.002523890576807215,0.04984930932750466,0.51893536534436635,1.0912787430694604,0.10792135630178522,0.16317804494508947,0.070443417123182694,1.4302742001912532,0.07029445637769155,0.50990617789023063,0.0012386139584261218,0.50922965276975718,0.032531712506804027,0.0030721463410464693,0.050693331504844945,0.052326344170608552
lognormal:0.02,feasible,True,frac_only,False,18.02609227972411,18.02535504076353,39.63069086283633,4.090010759361107e-05,-0.5451481695811649,0.1570696137062242,-1.0018973265468745e-05,1.4690733673930319e-15,1.0365545209032054,0.035290400734773124,0.0015178827837948703,0.04986439435865431,0.48081002521676786,1.1241002876340254,0.10743236165404456,0.20528809298197209,0.071536427604219313,1.3565894773561769,0.07282718458786154,0.48030104670486445,0.0012291307556587469,0.50689809606920211,0.033772364897811227,0.0029553981017084313,0.049081068666820993,0.049910814054686198
lognormal:0.02,feasible,True,classical,False,18.147822830998685,18.14856976084969,39.87396270321676,-4.115640300295098e-05,-0.5448703464445324,0.15708972218381256,1.0089504322907672e-05,1.4638419643458e-15,0.9752350836644581,0.03819188933265475,0.0029187392186280957,0.0496726224259487,0.50328032538748324,1.1023331388478497,0.11329361087879718,0.20018376340029631,0.071623585130352732,1.4088697597332231,0.069623160244912025,0.50776613458678388,0.0012999722166112005,0.49093328254522089,0.033415874418190786,0.0029414950957775648,0.048394920714240522,0.051409513992385497
m_sweep,feasible,True,frac_only,False,17.981953173535235,17.981192069529886,39.54155250966545,4.232778351997979e-05,-0.5452390704907257,0.15706926604056082,-1.0366638928838157e-05,1.4705255867807553e-15,1.0070460473127931,0.03149090257902966,0.001524897111242887,0.05234349198755558,0.51147499815161945,1.0882718213035729,0.10599469483103034,0.15529301985083244,0.072051852732482519,1.4220448846790394,0.070160182807804297,0.4897448310771918,0.0013053255178094815,0.53059380312750792,0.033834945711540006,0.0029651208700410591,0.050609019519773729,0.05015919961065575
lognormal:0.02,feasible,True,classical,False,18.230723516482183,18.231498049729506,40.03935720522853,-4.2483247685409786e-05,-0.5446799152384612,0.15709005182372415,1.0419144234496969e-05,1.4607104779864043e-15,0.9569389309930941,0.0457177529482806,0.0036234440402411884,0.046728363590952914,0.49112493627185266,1.1171748897159373,0.11009197539345913,0.19443109729760941,0.074225223348263578,1.358203823428584,0.070779491590998889,0.48863822457684863,0.0012696130887659661,0.49026553332136563,0.032125523259775975,0.0030534132001802457,0.050866422597460527,0.050550256601034731
lognormal:0.02,feasible,True,frac_only,False,17.914404260090713,17.91363778816731,39.407852982845164,4.278706159333012e-05,-0.5454102950523814,0.1570691575913532,-1.047508813645237e-05,1.473336224649611e-15,1.022455588988459,0.03459850117937401,0.0011757066798496055,0.05248476357378997,0.48828159976310442,1.0978023124877814,0.10994831644870967,0.19660288860080413,0.070087216250598799,1.4461629244629686,0.072024710836024672,0.50134752448245601,0.0012481503578271656,0.50393877096266193,0.034141075138308337,0.0030413867304414813,0.049173891842799723,0.051002309074443447
m_sweep,feasible,True,frac_only,False,18.27597546081905,18.27516967954053,40.12528959772255,4.4091589443517876e-05,-0.5445272633781473,0.15706881709315335,-1.081558633631019e-05,1.458825188610026e-15,0.9931959267941866,0.03484156010290225,0.002439903876495243,0.04941811025121713,0.49594103947123819,1.106776565608889,0.10687783550698113,0.17960339097842437,0.070417396040793542,1.4504655821742523,0.069649099091087033,0.4920392580637124,0.0013199428821045532,0.50014769605875464,0.032526867825940768,0.0029921005813784616,0.049239184394176322,0.050454681577680627
m_sweep,feasible,True,frac_only,False,18.078040819388374,18.07722853796589,39.7325882842328,4.4933957701331906e-05,-0.5450072195129977,0.15706862214849182,-1.1010530997834778e-05,1.4667589310819618e-15,0.9889270394183391,0.03997596127537631,0.003356118553838896,0.048821379187909464,0.48501538200047067,1.1315237766852944,0.11053388536547415,0.18724333080835132,0.072240991057447593,1.3970049166620666,0.068415645028674144,0.50112951824087315,0.0013106491432156068,0.51019146339869015,0.033530851197781653,0.0030377638700659487,0.051049841405897189,0.050149917874832764
