beta12,beta13,beta23,alpha,T1,T_Phi,T_alpha,certified_band_fraction,T_Phi_over_T_alpha,x1*,x2*,x3*
0.01,6.3095734448,63.095734448,0.7,111.411587948,13157.559441,18727.6370406,0.700794470194,0.702574457874,0.560776650173,0.26065156188,0.178571787948
0.01,6.3095734448,100,0.7,159.059679361,18784.7352723,25013.0942175,0.749402498991,0.750996062659,0.610461320469,0.232272385642,0.157266293888
0.01,10,10,0.7,41.2749110641,4874.51176086,9249.89780013,0.524859895776,0.526980066828,0.379548726598,0.379548726598,0.240902546805
0.01,10,15.8489319246,0.7,52.4661100336,6196.17738264,10642.9282491,0.580117391664,0.582187273807,0.413424215351,0.361152206287,0.225423578362
0.01,10,25.1188643151,0.7,68.4615581636,8085.21840102,12687.4228209,0.635294512435,0.637262469703,0.453707765165,0.338722863796,0.207569371039
0.01,10,39.8107170553,0.7,91.6203335757,10820.2387852,15681.575999,0.688175045639,0.689996897368,0.499285305619,0.312715887407,0.187998806974
0.01,10,63.095734448,0.7,125.56457508,14829.0082812,20074.7651775,0.737044255512,0.738689003335,0.54848105952,0.28399468931,0.16752425117
0.01,10,100,0.7,175.888008735,20772.138451,26553.1095013,0.780834723175,0.782286475714,0.599324081477,0.253697583251,0.146978335272
0.01,15.8489319246,15.8489319246,0.7,64.9981563807,7676.19528532,12121.4544692,0.631296371958,0.633273449555,0.394858750877,0.394858750877,0.210282498246
0.01,15.8489319246,25.1188643151,0.7,82.6816313474,9764.59001414,14283.8585327,0.681768028809,0.683610103796,0.435259256383,0.371841494279,0.192899249337
0.01,15.8489319246,39.8107170553,0.7,107.96550664,12750.5818503,17436.8756432,0.729567886497,0.731242345886,0.481320398343,0.344717507901,0.173962093756
0.01,15.8489319246,63.095734448,0.7,144.585090387,17075.3056849,22040.0165618,0.773253571942,0.774741055071,0.531387865354,0.314315434907,0.154296699738
0.01,15.8489319246,100,0.7,198.276580376,23416.1988005,28791.7271411,0.812001411681,0.813296079313,0.583448662311,0.281826020872,0.134725316817
0.01,25.1188643151,25.1188643151,0.7,102.490206195,12103.956195,16608.9461225,0.727077093328,0.728761241423,0.411924385868,0.411924385868,0.176151228264
0.01,25.1188643151,39.8107170553,0.7,130.44942373,15405.9023697,19981.2481375,0.769513265747,0.771018019677,0.458075910919,0.383883519608,0.158040569473
0.01,25.1188643151,63.095734448,0.7,170.437063811,20128.3891501,24874.2977131,0.807887980327,0.809204319342,0.508723770817,0.351877104056,0.139399125128
0.01,25.1188643151,100,0.7,228.368685508,26970.036146,32003.5841312,0.841588863693,0.842719241554,0.561861255541,0.317111059243,0.121027685216
0.01,39.8107170553,39.8107170553,0.7,161.776697599,19105.6114902,23649.2442091,0.806550760883,0.807874083471,0.429515999223,0.429515999223,0.140968001553
0.01,39.8107170553,63.095734448,0.7,206.004469387,24328.8521509,28933.334756,0.83971769882,0.840858903962,0.48020264072,0.396227873596,0.123569485683
0.01,39.8107170553,100,0.7,269.27410064,31800.9109318,36572.0081877,0.868574712735,0.869542377017,0.5340199865,0.359370476915,0.106609536585
0.01,63.095734448,63.095734448,0.7,255.570250731,30182.5045966,34734.6556383,0.867973555836,0.868944978492,0.446195592081,0.446195592081,0.107608815838
0.01,63.095734448,100,0.7,325.560037862,38448.2047936,43047.1580476,0.892350626655,0.893164764816,0.500035494907,0.407735231105,0.0922292739879
0.01,100,100,0.7,404.01,47713.040337,52237.5106276,0.912711465833,0.913386563866,0.460733654019,0.460733654019,0.0785326919629
0.0158489319246,0.0158489319246,0.0158489319246,0.7,0.142640387322,16.8456388554,4126.10590008,0.00404826640877,0.00408269667897,0.333333333333,0.333333333333,0.333333333333
0.0158489319246,0.0158489319246,0.0251188643151,0.7,0.168325084612,19.8789672331,4128.65314187,0.00477430413898,0.00481487946553,0.333470608334,0.333264695833,0.333264695833
