beta12,beta13,beta23,k,one_minus_alpha,T1,C_beta,T_alpha,rate_(T-T1)/(1-alpha),rel_err_vs_C,D_estimate
1.01,0.99,1.0,4,1e-4,8.99984999593729295569976570854,65.2963690169286557432303976313,9.006383187547315456059640765356951232449,65.3319161002250035987505682147,0.00054439602,355.4708329634785552
1.01,0.99,1.0,5,1e-5,8.99984999593729295569976570854,65.2963690169286557432303976313,9.000502995159554946420041763751551562502,65.2999222261990720276055216072,5.4416644e-5,355.32092704162843751
1.01,0.99,1.0,6,1e-6,8.99984999593729295569976570854,65.2963690169286557432303976313,8.999915292661615827186992144650485532857,65.2967243228714872264361150062,5.4414349e-6,355.30594283148320572
1.01,0.99,1.0,7,1e-7,8.99984999593729295569976570854,65.2963690169286557432303976313,8.99985652557774769301008266348742178497,65.2964045473731031695495194246,5.441412e-7,355.30444447426319122
1.01,0.99,1.0,8,1e-8,8.99984999593729295569976570854,65.2963690169286557432303976313,8.999850648901018655415787058750353217965,65.2963725699716021350214873888,5.4414097e-8,355.30429463917910898
1.01,0.99,1.0,9,1e-9,8.99984999593729295569976570854,65.2963690169286557432303976313,8.999850061233662327932701107442956878627,65.296369372232935398907477549,5.4414095e-9,355.30427965567707992
1.01,0.99,1.0,10,1e-10,8.99984999593729295569976570854,65.2963690169286557432303976313,8.999850002466929860945674064431788500794,65.2963690524590835589630917116,5.4414094e-10,355.3042781573269408
10.0,10.0,0.1,2,1e-2,44.1,296.374277747761869956896401579,47.2007715325612612220131241930737933928,310.077153256126122201312419307,0.046235036,1370.2875508364252244
10.0,10.0,0.1,3,1e-3,44.1,296.374277747761869956896401579,44.39767340208909265923605358928315814134,297.673402089092659236053589283,0.004383391,1299.1243413307892792
10.0,10.0,0.1,4,1e-4,44.1,296.374277747761869956896401579,44.12965034783338167910120105344944507006,296.503478333816791012010534494,0.00043593724,1292.0058605492105511
10.0,10.0,0.1,5,1e-5,44.1,296.374277747761869956896401579,44.1029638719068359503334686823125288519,296.387190683595033346868231253,4.3569691e-5,1291.2935833163389972
10.0,10.0,0.1,6,1e-6,44.1,296.374277747761869956896401579,44.10029637556897011272458111743455481925,296.375568970112724581117434555,4.3567288e-6,1291.222350854624221
10.0,10.0,0.1,7,1e-7,44.1,296.374277747761869956896401579,44.10002963744068692846260186165818396835,296.37440686928462601861658184,4.3567048e-7,1291.2152275606172018
10.0,10.0,0.1,8,1e-8,44.1,296.374277747761869956896401579,44.10000296374290659907022264273329126749,296.374290659907022264273329127,4.3567024e-8,1291.2145152307376928
10.0,10.0,0.1,9,1e-9,44.1,296.374277747761869956896401579,44.10000029637427903897631395464135490572,296.374279038976313954641354906,4.3567021e-9,1291.2144439977449533
10.0,10.0,0.1,10,1e-10,44.1,296.374277747761869956896401579,44.10000002963742778768833136443409647286,296.374277876883313644340964729,4.3567021e-10,1291.2144368744456315
0.18365977731182115,1.2230259135489447,6.14292993284208,2,1e-2,16.1037994434041108808084952919,120.880868700373018058830897604,17.3729913556494796926615088785784261174,126.919191224536881185301358667,0.049952673,603.83225241638631265
0.18365977731182115,1.2230259135489447,6.14292993284208,3,1e-3,16.1037994434041108808084952919,120.880868700373018058830897604,16.22525681113950960674849548479198277914,121.457367735398725940000192883,0.0047691503,576.49903502570788117
0.18365977731182115,1.2230259135489447,6.14292993284208,4,1e-4,16.1037994434041108808084952919,120.880868700373018058830897604,16.11589326886346118211290525784293398626,120.938254593503013044099659339,0.00047473098,573.85893129994985269
0.18365977731182115,1.2230259135489447,6.14292993284208,5,1e-5,16.1037994434041108808084952919,120.880868700373018058830897604,16.1050083094506952267848990007462225037,120.886604658434597640370883722,4.7451331e-5,573.595806157958154
0.18365977731182115,1.2230259135489447,6.14292993284208,6,1e-6,16.1037994434041108808084952919,120.880868700373018058830897604,16.10392032484638075627704057584715062995,120.881442269875468545283938147,4.7449155e-6,573.56950245048645304
0.18365977731182115,1.2230259135489447,6.14292993284208,7,1e-7,16.1037994434041108808084952919,120.880868700373018058830897604,16.10381153149671658683197878611830882663,120.880926057060234834942093053,4.7448937e-7,573.56687216776111195
0.18365977731182115,1.2230259135489447,6.14292993284208,8,1e-8,16.1037994434041108808084952919,120.880868700373018058830897604,16.10380065221285524119958991709304987834,120.880874436039109462518404639,4.7448915e-8,573.5666091403687507
0.18365977731182115,1.2230259135489447,6.14292993284208,9,1e-9,16.1037994434041108808084952919,120.880868700373018058830897604,16.10379956428498015474809618837821735252,120.880869273939600896469213865,4.7448913e-9,573.56658283763831626
0.18365977731182115,1.2230259135489447,6.14292993284208,10,1e-10,16.1037994434041108808084952919,120.880868700373018058830897604,16.10379945549219775658146289986574685593,120.880868757729676079567433687,4.7448913e-10,573.56658020736536083
0.13829298499406997,0.3977982824979365,0.0375898029429754,2,1e-2,1.43154301281769208666621015052,23.9454172408661533472006825774,1.689208178356153990299397691218569554866,25.7665165538461903633187540698,0.076052102,182.10993129800370161
0.13829298499406997,0.3977982824979365,0.0375898029429754,3,1e-3,1.43154301281769208666621015052,23.9454172408661533472006825774,1.45566143585327258556012170644375448177,24.1184230355804988939115559229,0.0072250065,173.00579471434554671
0.13829298499406997,0.3977982824979365,0.0375898029429754,4,1e-4,1.43154301281769208666621015052,23.9454172408661533472006825774,1.433939275990570601268495908538725511682,23.9626317287851460228575801785,0.00071890532,172.14487918992675657
0.13829298499406997,0.3977982824979365,0.0375898029429754,5,1e-5,1.43154301281769208666621015052,23.9454172408661533472006825774,1.431782484196028673571895445486381784368,23.9471378336586905685294965505,7.1854784e-5,172.05927925372213288
0.13829298499406997,0.3977982824979365,0.0375898029429754,6,1e-6,1.43154301281769208666621015052,23.9454172408661533472006825774,1.431566958406983676994515875459123957189,23.9455892915903283057249382467,7.1851212e-6,172.05072417495852426
0.13829298499406997,0.3977982824979365,0.0375898029429754,7,1e-7,1.43154301281769208666621015052,23.9454172408661533472006825774,1.431545407361136671968707166841096915967,23.9454344458530249701632021968,7.1850854e-7,172.0498687162296252
0.13829298499406997,0.3977982824979365,0.0375898029429754,8,1e-8,1.43154301281769208666621015052,23.9454172408661533472006825774,1.431543252271881700306060707348585141521,23.9454189613639850556827707905,7.1850819e-8,172.04978317084820882
0.13829298499406997,0.3977982824979365,0.0375898029429754,9,1e-9,1.43154301281769208666621015052,23.9454172408661533472006825774,1.431543036763109499582138114036541731759,23.9454174129159279635156644955,7.1850815e-9,172.04977461631498192
0.13829298499406997,0.3977982824979365,0.0375898029429754,10,1e-10,1.43154301281769208666621015052,23.9454172408661533472006825774,1.431543015212233812473323222849562577794,23.9454172580711307232868534149,7.1850815e-10,172.04977376086170838
5.161173348254568,10.288558081650601,2.769229654534577,2,1e-2,51.0295932953693734208822004323,331.917271170016926109516828915,54.49546269893141488340048445202363486877,346.586940356204146251828401968,0.044196764,1466.9669186187220142
5.161173348254568,10.288558081650601,2.769229654534577,3,1e-3,51.0295932953693734208822004323,331.917271170016926109516828915,51.36291836047930479133285844112687501246,333.32506510993137045065800878,0.0042414001,1407.7939399144443411
5.161173348254568,10.288558081650601,2.769229654534577,4,1e-4,51.0295932953693734208822004323,331.917271170016926109516828915,51.06279904337288916638833019719754360447,332.057480035157455061297648505,0.00042242112,1402.0886514052895178
5.161173348254568,10.288558081650601,2.769229654534577,5,1e-5,51.0295932953693734208822004323,331.917271170016926109516828915,51.03291260823308940931498946619503459111,331.931286371598843278903384798,4.2224984e-5,1401.5201581917169387
5.161173348254568,10.288558081650601,2.769229654534577,6,1e-6,51.0295932953693734208822004323,331.917271170016926109516828915,51.02992521404200676695344568160071351133,331.918672633346071245249253659,4.2223272e-6,1401.4633291451357324
5.161173348254568,10.288558081650601,2.769229654534577,7,1e-7,51.0295932953693734208822004323,331.917271170016926109516828915,51.02962648711050499903924282452932414163,331.917411315781570423921822695,4.2223101e-7,1401.4576464431440499
5.161173348254568,10.288558081650601,2.769229654534577,8,1e-8,51.0295932953693734208822004323,331.917271170016926109516828915,51.02959661454222526675927902466182136512,331.91728518458770785923147667,4.2223084e-8,1401.4570781749714648
5.161173348254568,10.288558081650601,2.769229654534577,9,1e-9,51.0295932953693734208822004323,331.917271170016926109516828915,51.02959362728664599235614789003835558812,331.917272571473947457691300924,4.2223082e-9,1401.457021348174472
5.161173348254568,10.288558081650601,2.769229654534577,10,1e-10,51.0295932953693734208822004323,331.917271170016926109516828915,51.02959332856110055189846319995368730936,331.917271310162627676066326454,4.2223082e-10,1401.4570156654949754
0.9890201540070646,25.23830972779675,1.7593808045637336,2,1e-2,53.9444109983928375589964173412,339.390869328340888191151516299,57.5080172815015539901363198638604467926,356.360628310871643113990252271,0.050000635,1696.9758982530754923
0.9890201540070646,25.23830972779675,1.7593808045637336,3,1e-3,53.9444109983928375589964173412,339.390869328340888191151516299,54.28543306201366566827167045923632131381,341.022063620828109275253118085,0.0048062409,1631.1942924872210841
0.9890201540070646,25.23830972779675,1.7593808045637336,4,1e-4,53.9444109983928375589964173412,339.390869328340888191151516299,53.97836633398757863716582595564688569613,339.553355947410781694086144952,0.00047875955,1624.8661906989350293
0.9890201540070646,25.23830972779675,1.7593808045637336,5,1e-5,53.9444109983928375589964173412,339.390869328340888191151516299,53.94780506950969920513531314854409422704,339.407111686164613889580739241,4.785738e-5,1624.2357823725698429
