beta12,beta13,beta23,alpha,certified,L,U,rel_width,T1,boxes,seconds
100,0.01,1,0.999,True,124.55630836834335829866072777376228,124.55630836834335829866072777376228,8.9656e-40,123.20999999999999374722392531111836,143443,61.25
1.5,1.5,0.2,0.7,True,4980.9449401141475857774583060498192,4980.9449401141475857774583060498192,5.5318e-39,8.3908902300206626989620417589321733,455,0.22
1.5,1.5,0.2,0.8,True,97.797178686611254466443974385422264,97.797178686611254466443974385422264,1.3372e-39,8.3908902300206626989620417589321733,603,0.3
1.5,1.5,0.2,0.9,True,21.625784723608608365216571959832427,21.625784723608608365216571959832427,1.0871e-39,8.3908902300206626989620417589321733,793,0.87
1.5,1.5,0.2,0.95,True,12.926893594452550495190924444850863,12.926893594452550495190924444850863,8.9513e-40,8.3908902300206626989620417589321733,1191,1.0
1.5,1.5,0.2,0.99,True,9.102984800549186359457523940229538,9.102984800549186359457523940229538,6.4566e-40,8.3908902300206626989620417589321733,1575,1.09
1.5,1.5,0.2,0.999,True,8.4587122764696719170238723488260369,8.4587122764696719170238723488260369,8.0341e-40,8.3908902300206626989620417589321733,1543,1.23
3,3,3,0.7,True,6583.3973327035620053256110200356185,6583.3973327035620053256110200356185,5.8566e-39,27.0,493,0.24
3,3,3,0.8,True,202.64245639126344724641274011921141,202.64245639126344724641274011921141,1.4357e-39,27.0,785,0.4
3,3,3,0.9,True,57.669138794800323778936576389306917,57.669138794800323778936576389306917,1.1466e-39,27.0,921,0.5
3,3,3,0.95,True,38.023644106127772940415515315747092,38.023644106127772940415515315747092,8.888e-40,27.0,951,0.55
3,3,3,0.99,True,28.780035649372328787413970848387873,28.780035649372328787413970848387873,6.5095e-40,27.0,1025,0.49
3,3,3,0.999,True,27.170448943317727796515587660816288,27.170448943317727796515587660816288,7.7063e-40,27.0,1089,0.73
0.1,1,10,0.7,True,6833.4785827568559129705694718203778,6833.4785827568559129705694718203778,5.8487e-39,20.057010852370432019142754143103957,741,0.38
0.1,1,10,0.8,True,191.47198097898022599355822544777808,191.47198097898022599355822544777808,1.366e-39,20.057010852370432019142754143103957,1859,1.17
0.1,1,10,0.9,True,48.751316039474454630956519883910138,48.751316039474454630956519883910138,9.4941e-40,20.057010852370432019142754143103957,4423,2.84
0.1,1,10,0.95,True,30.353022629536241268055279933700368,30.353022629536241268055279933700368,8.9557e-40,20.057010852370432019142754143103957,7705,4.51
0.1,1,10,0.99,True,21.750820424942617951647484305005175,21.750820424942617951647484305005175,7.0932e-40,20.057010852370432019142754143103957,14987,8.12
0.1,1,10,0.999,True,20.22070692257208433921725732305631,20.22070692257208433921725732305631,7.085e-40,20.057010852370432019142754143103957,17449,9.08
1,1,4,0.7,True,5716.7661977896038523882761847074863,5716.7661977896038523882761847074863,5.7081e-39,16.0,513,0.24
1,1,4,0.8,True,141.87732529300116450976669657359299,141.87732529300116450976669657359299,1.3256e-39,16.0,905,0.54
1,1,4,0.9,True,36.247524774023893416965089268152127,36.247524774023893416965089268152127,1.0742e-39,16.0,1395,0.82
1,1,4,0.95,True,23.086204127942089625458847329736006,23.086204127942089625458847329736006,8.4332e-40,16.0,1643,1.14
1,1,4,0.99,True,17.123625416205581163532655890274287,17.123625416205581163532655890274287,5.7921e-40,16.0,1753,1.04
1,1,4,0.999,True,16.10717941521986680322963236585304,16.10717941521986680322963236585304,7.0699e-40,16.0,1899,1.04
0.2,0.2,1,0.7,True,4493.6509718194362168012063180009009,4493.6509718194362168012063180009009,5.4829e-39,3.5888543819998313111341303738299757,429,0.27
0.2,0.2,1,0.8,True,67.855521949188895570729754623054627,67.855521949188895570729754623054627,1.3859e-39,3.5888543819998313111341303738299757,559,0.34
0.2,0.2,1,0.9,True,11.850813711016742154591391015568267,11.850813711016742154591391015568267,1.1159e-39,3.5888543819998313111341303738299757,913,0.62
0.2,0.2,1,0.95,True,6.2807338019062284864049483755775571,6.2807338019062284864049483755775571,8.9193e-40,3.5888543819998313111341303738299757,1395,0.83
0.2,0.2,1,0.99,True,3.9970661091168281948113981796789164,3.9970661091168281948113981796789164,6.4332e-40,3.5888543819998313111341303738299757,1853,1.12
0.2,0.2,1,0.999,True,3.6274523460030835348505483961180438,3.6274523460030835348505483961180438,8.1014e-40,3.5888543819998313111341303738299757,1967,1.05
