mech,index,alpha,a11,a12,a13,a21,a22,a23,a31,a32,a33,float_mismatch,hp_dps,theorem_pred_member,gap_kappa_over_T_minus_1,hp_min_margin,hp_margin_independent_start,consistent
M4a,382916,0.6666667666666666,-12.637120883248514,5.607980671156038e-07,-119396555.01948902,8058056531.891471,-592.190397284365,-0.010487308691816443,1.6864103188418804e-08,3889493.5174755133,-2.983812406444288,False,40,True,-3.76437878531e-8,1.97102703467e-15,1.97102703467e-15,True
M4d,73256,0.6666667855099668,-0.885997328619429,-4426928.234410281,2.192988476802872e-08,-1.1924134879468885e-07,-0.6947300278098837,998821.8209319059,29228904.48846686,-7.114542355175961e-06,-2.1030321266103256,False,40,False,3.17717476289e-8,-1.97703601879e-15,-1.82944977826e-15,True
M4d,106566,0.6666666837891505,-0.058216527424648466,-6933605.041520607,1.5585277954291676e-08,1.2307665882271751e-09,-0.45513686745237997,64669838.59835349,2914080.7529069763,7.237692147636465e-09,-1.4772100879681846,False,40,True,-2.2052573806e-7,1.97708225445e-15,1.97708225445e-15,True
M4d,31487,0.666667008998759,-0.0983680625867313,384645.13751978317,1.558475916535733e-07,-5.0898086186970093e-08,-1.2448962403740733,-64941796.153789036,145197.15466184405,-1.0402581139700315e-07,-7.090318221179838,False,40,True,-1.10305034286e-8,1.97715925229e-15,1.97715925229e-15,True
M4a,265271,0.6666667666666666,-0.052147128261365805,-2.0300469208181904e-10,53120.822376047414,-37550168.02690676,-1.6681362513535978,1.6226191056901936e-07,1.8378659383230293e-06,18917450.448302876,-2.5884816017862007,False,40,False,3.7770482579e-8,-1.97765778903e-15,-1.9616450012e-15,True
M4a,325082,0.6666667666666666,-6.243614774375571,71546587.08038682,-2.3107442582354095e-06,3.4621795370615995e-06,-80.52789281464511,564245288.7459629,-400584.36388671654,1.9796472393340236e-08,-0.1919270459893301,False,40,False,3.78124312181e-8,-1.97985415874e-15,-1.91489965575e-15,True
M4c,88948,0.6666667666666666,-10.825789048149982,-3.9023072324995497e-07,2450748.4534284216,-44913492.01274014,-1.6199948044063306,-1.1597049206124232e-07,2.7058852066023104e-06,16360343.222940989,-0.6127204785301286,False,40,False,3.78145617986e-8,-1.97996594313e-15,-1.68437631084e-15,True
M4d,31203,0.6666667657087731,-0.1443055856598007,-6.546724045274448e-10,33351.507389630715,-40852187.18865484,-0.2998032339801563,-9.117399251988353e-07,-2.1289694585057167e-05,8265257.800794017,-1.5090146827137572,False,40,True,-3.81909613861e-8,1.98052183093e-15,1.98052183093e-15,True
M4d,78332,0.6666667017223756,-2.4020022925982194,2873108.989990532,1.2541092769937664e-08,7.235003346866213e-11,-0.03958919197938777,-791237.6394087623,11066801400.620152,1.5845454196242033e-05,-68.01033394243898,False,40,False,1.07983055998e-7,-1.98204271039e-15,-1.96072231852e-15,True
M4a,423973,0.6666667666666666,-0.125218392383234,53812.72980254405,4.234993874109521e-09,1.411064540351937e-06,-0.711694472942273,16085426.95602499,-666692.8242339925,1.2030417359478514e-09,-0.038641091889559,False,40,True,-3.78672636935e-8,1.98272540206e-15,1.98272540206e-15,True
M4d,106776,0.6666666788395356,-30.056818172066336,4777498769.328859,-4.7074334776328803e-07,-4.473253554225497e-10,-0.05022559592774,-373569.46984439815,33238244.120763052,-1.7072765711522553e-08,-0.42294958100214114,False,40,True,-3.11286214152e-7,1.98404517774e-15,1.98404517774e-15,True
M4a,342657,0.6666667666666666,-10.962439660242605,1.2418220255752672e-06,14393447.887886686,292629.4221458795,-0.17303835568893097,-1.3535529224781557e-09,2.6346173208941682e-08,-72513645.37820628,-0.960772734716982,False,40,True,-3.79229062923e-8,1.98563886048e-15,1.98563886048e-15,True
M4d,99312,0.6666667077698825,-2.660780223812798,-15837596079.192694,-2.1324099159621992e-05,3.129222702927349e-09,-9.487248088784446,7584804.819876474,4183635.2006493662,5.693941079003412e-07,-8.249603517196409,False,40,False,9.22681874404e-8,-1.98575866624e-15,-1.94122875959e-15,True
M4a,237615,0.6666667666666666,-4.360905401771145,27220342.304063745,-3.4134781449118443e-07,-6.145184636948618e-07,-2.3967961773448887,6777974.494675808,-46755434.00847179,-1.7206088028461315e-06,-4.924762495805715,False,40,False,3.79354986588e-8,-1.98629841467e-15,-1.90629707229e-15,True
M4a,112752,0.6666667666666666,-0.0020807131039395814,-1801.0932298834439,2.1432179185290587e-10,-3.4445701954109952e-06,-22.649214383743715,542685411.8604232,1218190.6481170887,1.400902630832071e-09,-0.15076549260202468,False,40,False,3.79422129202e-8,-1.98664960847e-15,-1.97304168273e-15,True
M4a,125646,0.6666667666666666,-2.206774106954397,108570797.31875874,-2.981214300919156e-07,2.739606819181031e-09,-0.21396092232486771,302788.528875069,-5130503.652780293,6.242582944665765e-07,-2.1315121544332363,False,40,False,3.79590708403e-8,-1.98753226508e-15,-1.98753192713e-15,True
M4a,293342,0.6666667666666666,-0.8550668821960956,5099044.808139937,7.272860905793921e-09,-3.7016495051639186e-08,-0.012159928009350514,-27202.18750609089,11418050.131325757,-1.703293886043312e-07,-0.9089076496581852,False,40,True,-3.79750396482e-8,1.98837077425e-15,1.98837077425e-15,True
M4a,285739,0.6666667666666666,-29.231564910168764,-2.3046618599544785e-08,10689976.198762154,137278889.2313505,-0.5459425971908739,1.0843454365677687e-07,-4.1301187351117825e-08,-15587132.264191084,-8.552936681431204,False,40,True,-3.80031626528e-8,1.98984124008e-15,1.98984124008e-15,True
M4a,108536,0.6666667666666666,-0.3309721946292114,-2.480100958682105e-07,44339572.25070333,59494.62702557115,-0.26672458511947905,-1.3461613836387329e-08,-1.2756457996316467e-10,-68430.41030702861,-0.012202008701629416,False,40,False,3.80463862907e-8,-1.99210441085e-15,-1.98810714773e-15,True
M4d,92779,0.6666668921860583,-0.03272364168763792,7.500723134332843e-09,38307.042674772696,1823087.5032902202,-1.0010950766811166,-1.2228622231106893e-07,-3.744610447262783e-05,-577328562.9934583,-84.23478985304874,False,40,False,1.68787715934e-8,-1.99307384714e-15,-1.8533192736e-15,True
M4a,165639,0.6666667666666666,-21.1044679366753,20828565.81067923,2.279971810412288e-05,9.971302435463858e-08,-0.5598888100079666,-171528096.29748452,12818638.541677324,6.241870483931113e-07,-23.12743044563814,False,40,True,-3.80976516349e-8,1.9947895085e-15,1.9947895085e-15,True
