rank,regime,beta12,beta13,beta23,alpha,T,x1,x2,x3,float_err_dT_b12,float_err_dT_b13,float_err_dT_b23,float_err_dT_alpha,float_err_dx_max,hess_min_eig,hess_cond,hp_err_dT_b12,hp_err_dT_b13,hp_err_dT_b23,hp_err_dT_alpha,hp_err_euler,dx1_dalpha_fd,dx2_dalpha_fd,dx3_dalpha_fd
396,near_1,0.1498031269,4.337027236,1.906524664,0.999999974832,14.8253268256,0.3586072906,0.5408713342,0.1005213752,1.89e-12,3.5e-13,2.24e-13,6.29e-07,3.51e-12,0.08998,9.632,1.23e-34,6.28e-35,8.77e-35,4.03e-32,3.5e-46,0.0787474,0.646634,-0.725382
397,near_23,1.902782827,0.6203687964,0.8319466204,0.666667612517,1.9804612122e+17,0.3333331695,0.3333330485,0.3333337819,6.28e-07,3.43e-07,1.83e-07,2.78e-07,4.51e-07,0.3333,3,2.54e-36,7.83e-36,2.83e-37,1.75e-28,1.63e-40,-0.173168,-0.301088,0.474256
398,near_23,1.997410977,7.252848155,8.365558404,0.666667218258,9.98586844666e+17,0.3333341649,0.3333337939,0.3333320412,6.23e-07,1.35e-07,1.15e-07,2.81e-07,4.51e-08,0.3333,3,7.38e-37,1.38e-36,1.08e-37,1.75e-28,3.84e-41,1.50761,0.834887,-2.3425
399,near_1,14.50507341,1.168548033,0.6937053838,0.999999982705,32.7462825629,0.1455481086,0.1889045042,0.6655473872,1.21e-13,1.47e-12,1.57e-12,6.21e-07,5.73e-12,0.2155,1.576,4.57e-35,1.11e-34,1.17e-34,5.94e-32,1.75e-46,-0.229075,-0.176186,0.405261
400,near_1,2.16816995,1.648392216,12.74999988,0.999999983116,40.0319730287,0.5643540111,0.2029209104,0.2327250785,1.22e-12,6.64e-13,7.49e-13,6.2e-07,4.14e-12,0.1636,3.983,1.05e-34,1.09e-34,5.96e-35,1.15e-32,2.63e-46,-0.0352609,0.0199056,0.0153562
401,near_23,0.3904362525,1.851937999,1.515786639,0.666673246751,5.88233169645e+14,0.3333343799,0.3333357172,0.3333299029,6.1e-07,1.09e-07,5.1e-08,2.81e-07,1.97e-08,0.3333,3,1.72e-36,9.15e-38,4.28e-37,1.75e-28,2.51e-41,0.159051,0.362279,-0.521329
402,symmetric,0.01825143618,0.01825143618,0.01825143618,0.952728861293,0.95239659595,0.3333333333,0.3333333333,0.3333333333,1.91e-12,1.59e-12,1.59e-12,2.77e-12,6.08e-07,0.2988,3,1.13e-36,1.13e-36,1.13e-36,3.67e-31,0,0,0,0
403,near_23,0.6536103925,1.456462937,3.169371726,0.666668131599,5.33069675875e+16,0.3333345818,0.3333330647,0.3333323536,3.37e-07,6.02e-07,1.49e-07,2.86e-07,8.08e-08,0.3333,3,2e-36,3.99e-36,1.14e-36,1.75e-28,1.74e-40,0.852206,-0.183401,-0.668804
404,near_23,0.0307113516,0.372813688,1.100554834,0.666688344945,1.64497006046e+13,0.3333411869,0.3333316486,0.3333271646,5.97e-07,1.63e-08,2.26e-08,2.8e-07,6.77e-08,0.3333,3,4.02e-36,2.46e-37,2.22e-38,1.75e-28,5.2e-42,0.36228,-0.0777134,-0.284566
405,near_23,2.238283485,0.488372715,3.230805908,0.666669848732,5.20134936497e+15,0.3333357285,0.3333304525,0.333333819,3.12e-08,5.97e-07,4.39e-08,2.78e-07,7.49e-08,0.3333,3,2.22e-37,1.28e-36,3.63e-37,1.75e-28,1e-41,0.752694,-0.905338,0.152643
406,near_1,1.497310065,0.2129177469,1.27914262,0.999999973184,7.93024184179,0.4016209032,0.1638561733,0.4345229235,4.57e-13,1.2e-12,3.08e-13,5.96e-07,1.49e-11,0.21,2.593,7.73e-35,1.14e-34,8.18e-35,3.11e-32,2.63e-46,0.261261,-0.648402,0.387141
407,near_1,1.344763703,0.0562275466,20.46276403,0.999999989986,35.0504479284,0.7640739089,0.04005234314,0.195873748,2.41e-12,5.6e-12,9.54e-13,5.91e-07,4.34e-11,0.06425,5.808,1.1e-34,1.31e-34,3.23e-35,1.05e-31,3.5e-46,1.74897,-1.19083,-0.558136
408,near_23,3.145044261,0.3920811086,7.869766586,0.666670649072,2.65354774788e+15,0.3333431263,0.3333251227,0.3333317511,2.01e-08,5.8e-07,5.67e-08,2.81e-07,5.66e-08,0.3333,3,3.54e-37,5.18e-37,4.7e-38,1.75e-28,1.69e-41,2.45891,-2.06165,-0.397261
409,near_23,1.207161441,2.273167555,53.93323872,0.666668170536,4.92796719303e+16,0.333364966,0.3333180016,0.3333170324,4.83e-07,5.79e-07,2.11e-08,2.86e-07,8.02e-08,0.3333,3,4.13e-37,1.68e-36,3.3e-38,1.75e-28,4.96e-41,21.0311,-10.1933,-10.8378
410,near_23,13.36624533,0.468022375,0.2744061247,0.666671344114,1.63776706215e+15,0.3333208109,0.3333213585,0.3333578306,7.11e-09,9.03e-08,5.78e-07,2.82e-07,6.78e-08,0.3333,3,5.92e-38,7.04e-37,7.46e-37,1.75e-28,2.07e-41,-2.67692,-2.55986,5.23677
411,near_23,0.8571960038,4.972830346,4.772447012,0.666669331329,8.85777374793e+15,0.3333353282,0.3333356511,0.3333290207,5.78e-07,1.12e-08,8.23e-08,2.79e-07,2.26e-08,0.3333,3,5.82e-37,4.43e-37,1.39e-37,1.75e-28,1.47e-41,0.748641,0.869783,-1.61842
412,anisotropic,0.001291341727,0.000170863513,3777.774429,0.954336951863,5323.07707849,0.9690148983,0.01548371279,0.01550138894,2.97e-08,5.7e-07,1.55e-13,5.66e-12,4.13e-08,0.00637,53.67,3.25e-38,2.57e-37,2.31e-36,1.07e-31,7.01e-46,0.115594,-0.0578325,-0.0577614
413,symmetric,0.01800248214,0.01800248214,0.01800248214,0.945984666759,1.17046563227,0.3333333333,0.3333333333,0.3333333333,2e-12,2.61e-12,2.61e-12,2.79e-12,5.69e-07,0.3043,3,5.67e-37,5.67e-37,5.67e-37,5.66e-31,1.23e-45,0,0,0
414,symmetric,0.008448510233,0.008448510233,0.008448510233,0.941060290003,1.18501651981,0.3333333333,0.3333333333,0.3333333333,9.28e-13,3.07e-12,3.07e-12,1.44e-11,5.69e-07,0.3187,3,3.82e-38,3.82e-38,3.81e-38,7.42e-31,1.05e-45,0,0,0
415,near_1,0.5768632703,10.6091701,1.533391861,0.999999989152,27.6149141159,0.2356431102,0.619824688,0.1445322018,2.01e-12,4.44e-13,8.4e-13,5.63e-07,3.81e-12,0.1184,6.022,1.17e-34,5.2e-35,1.05e-34,7.99e-32,1.75e-46,-0.125729,0.368718,-0.242989
