family,beta12,beta13,beta23,alpha_name,alpha,status,method,unconditional_certified,conditional_certified,L,U,mid,rel_width,x1_hat,x2_hat,x3_hat,x_enclosure_radius,core_rho,T1,hp_T_dps50,hp_in_bracket,closed_form_27h,closed_form_in_bracket,dps,boxes,seconds,method,reason
A,100.0,100.0,100.0,0.95,0.95,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,1830.57742932241796497056869428933138271284557,1830.5774293224179649705686942893313827150555,1830.57742932241796497056869428933138271395053,1.20723e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.14269e-39,0.009375,900.0,1830.57742932241796497056869428933138271422742,True,1830.57742932241796497056869428933138271422742,True,40,1175,0.98,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,100.0,100.0,100.0,1-1e-2,0.99,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,1070.62430367494497365011880511970732078090304,1070.624303674944973650118805119707320782008,1070.62430367494497365011880511970732078144376,1.03208e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,4.18667e-40,0.009375,900.0,1070.62430367494497365011880511970732078163546,True,1070.62430367494497365011880511970732078163546,True,40,1073,0.76,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,100.0,100.0,100.0,1-1e-3,0.999,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,916.836507756516895252447429897912694410972421,916.8365077565168952524474298979126944122302,916.836507756516895252447429897912694411607188,1.37187e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.64074e-40,0.009375,900.0,916.836507756516895252447429897912694411869973,True,916.836507756516895252447429897912694411869973,True,40,1079,0.74,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,100.0,100.0,100.0,1-1e-4,0.9999,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,901.681615656635754730906773573294272436136203,901.681615656635754730906773573294272437370472,901.681615656635754730906773573294272436759215,1.36885e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.57673e-40,0.009375,900.0,901.681615656635754730906773573294272436989233,True,901.681615656635754730906773573294272436989233,True,40,1121,0.77,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,100.0,100.0,100.0,1-1e-5,0.99999,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,900.168141435296932906849237512817567588751901,900.168141435296932906849237512817567589739317,900.168141435296932906849237512817567589245609,1.09692e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.57039e-40,0.009375,900.0,900.168141435296932906849237512817567589392764,True,900.168141435296932906849237512817567589392764,True,40,1177,0.83,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,100.0,100.0,100.0,1-1e-6,0.999999,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,900.016813942446548223039810741771536808095251,900.016813942446548223039810741771536809129686,900.016813942446548223039810741771536808612469,1.14935e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.56976e-40,0.009375,900.0,900.016813942446548223039810741771536808708186,True,900.016813942446548223039810741771536808708186,True,40,1225,0.79,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,100.0,100.0,100.0,1-1e-7,0.9999999,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,900.001681392234043863027554760815426139012754,900.001681392234043863027554760815426140305797,900.001681392234043863027554760815426139659275,1.43671e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.5697e-40,0.009375,900.0,900.001681392234043863027554760815426139854105,True,900.001681392234043863027554760815426139854105,True,40,1281,0.89,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,100.0,100.0,100.0,1-1e-8,0.99999999,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,900.000168139203298497198398013533800698904998,900.000168139203298497198398013533800700092247,900.000168139203298497198398013533800699492745,1.31917e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.56969e-40,0.009375,900.0,900.00016813920329849719839801353380069973578,True,900.00016813920329849719839801353380069973578,True,40,1337,0.74,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,100.0,100.0,100.0,1-1e-9,0.999999999,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,900.0000168139201287910492843342318118216226,900.000016813920128791049284334231811822668789,900.000016813920128791049284334231811822151572,1.16243e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.56969e-40,0.009375,900.0,900.00001681392012879104928433423181182239748,True,900.00001681392012879104928433423181182239748,True,40,1385,0.95,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,100.0,100.0,100.0,1-1e-10,0.9999999999,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,900.000001681392010868518443366829539997874514,900.000001681392010868518443366829539999155803,900.000001681392010868518443366829539998509281,1.42365e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.56969e-40,0.009375,900.0,900.000001681392010868518443366829539998725203,True,900.000001681392010868518443366829539998725203,True,40,1441,0.96,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
