id,tags,alpha,a11,a12,a13,a21,a22,a23,a31,a32,a33,beta12,beta13,beta23,kappa,T1,T_alpha_hp40,T_alpha_label,T_alpha_certified_L,T_alpha_certified_U,m_Cain,m_frac,m_Cain_over_T1,m_frac_over_Talpha,band_position_(kappa-T1)/(Talpha-T1),x_star,D_star_geomean1,direct_margin_at_D_star_rad,direct_global_min_margin_float,direct_global_min_margin_alpha1_float,hurwitz_at_I,max_Re_eig_A,D_H_cain_minimiser_geomean1,max_Re_eig_D_H_A,g,L3,l123,l132,Phi,C11_certificate_passes,independent_checks_consistent
W11,2 generic nonsymmetric strict-P; 10 non-Hurwitz at I,0.8,-1,-3,0,0,-1,2,2,0,-1,1,1,1,13,9.0,96.715494146741627374278386144364621,CERTIFIED (interval) + HP,96.715494146741627374278386144364621,96.715494146741627374278386144364621,4.0,83.715494146741627374,0.444444444444,0.865585135922,0.0456019776085,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.24130011020478262667,0.24130011020478204,-0.07285915515419727,False,0.144714242553332,1.0 1.0 1.0,0.144714242553332,0 0 0,-12,-12,0,0.692307692307692,True,True
W12,2 generic nonsymmetric strict-P; 10 non-Hurwitz at I,0.8,-1,-2,0,0,-1,-3,-2,0,-1,1,1,1,13,9.0,96.715494146741627374278386144364621,CERTIFIED (interval) + HP,96.715494146741627374278386144364621,96.715494146741627374278386144364621,4.0,83.715494146741627374,0.444444444444,0.865585135922,0.0456019776085,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.24130011020478262667,0.24130011020478204,-0.07285915515419727,False,0.144714242553332,1.0 1.0 1.0,0.144714242553332,0 0 0,-12,-12,0,0.692307692307692,True,True
W13,2 generic nonsymmetric strict-P; 10 non-Hurwitz at I,0.8,-1,-2,0,0,-1,-2,-3,0,-1,1,1,1,13,9.0,96.715494146741627374278386144364621,HP (40 digits),,,4.0,83.715494146741627374,0.444444444444,0.865585135922,0.0456019776085,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.24130011020478262667,0.24130011020478181,-0.0728591551541975,False,0.144714242553332,1.0 1.0 1.0,0.144714242553332,0 0 0,-12,-12,0,0.692307692307692,True,True
W14,3 strong antagonistic pair loops; 10 non-Hurwitz at I,0.7,-1,-3,-1/2,1/2,-1,3,3,-1/2,-1,5/2,5/2,5/2,259/8,22.5,6169.9191476022891266883536133970578,HP (40 digits),,,9.875,6137.5441476022891267,0.438888888889,0.994752767544,0.00160636516933,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.38894655479752160782,0.38894655479752105,-0.08229234324094792,False,0.25,1.0 1.0 1.0,0.25,-3/2 -3/2 -3/2,-215/8,-27,1/8,0.694980694980695,True,True
W15,3 strong antagonistic pair loops; 10 non-Hurwitz at I,0.7,-1,-3,1/2,1/2,-1,-3,-3,1/2,-1,5/2,5/2,5/2,259/8,22.5,6169.9191476022891266883536133970578,HP (40 digits),,,9.875,6137.5441476022891267,0.438888888889,0.994752767544,0.00160636516933,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.38894655479752160782,0.38894655479752105,-0.08229234324094792,False,0.25,1.0 1.0 1.0,0.25,-3/2 -3/2 -3/2,-215/8,-27,1/8,0.694980694980695,True,True
W16,3 strong antagonistic pair loops; 10 non-Hurwitz at I,0.7,-1,-1/2,-3,3,-1,-1/2,1/2,3,-1,5/2,5/2,5/2,259/8,22.5,6169.9191476022891266883536133970578,HP (40 digits),,,9.875,6137.5441476022891267,0.438888888889,0.994752767544,0.00160636516933,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.38894655479752160782,0.38894655479752127,-0.0822923432409477,False,0.25,1.0 1.0 1.0,0.25,-3/2 -3/2 -3/2,-215/8,1/8,-27,0.694980694980695,True,True
W17,3 strong antagonistic pair loops; 10 non-Hurwitz at I,0.7,-1,-1/2,3,3,-1,1/2,-1/2,-3,-1,5/2,5/2,5/2,259/8,22.5,6169.9191476022891266883536133970578,HP (40 digits),,,9.875,6137.5441476022891267,0.438888888889,0.994752767544,0.00160636516933,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.38894655479752160782,0.38894655479752127,-0.0822923432409477,False,0.25,1.0 1.0 1.0,0.25,-3/2 -3/2 -3/2,-215/8,1/8,-27,0.694980694980695,True,True
W18,4 mixed ecological signs; 10 non-Hurwitz at I,0.7,-1,-3,-1/2,0,-1,-2,-3/2,1/2,-1,1,1/4,2,41/4,8.49264068711928514640506617263,4991.7391430065662495365232504347215,HP (40 digits),,,1.7573593128807148536,4981.4891430065662495,0.206927312437,0.997946607444,0.00035265349849,0.3508048166 0.3169427969 0.3322523863,1.0533208966 0.9516473412 0.9976156678,0.45488925721611757332,0.4351864949588107,-0.03605240307965829,False,0.0200131920304887,1.5874010519 0.5612310241 1.1224620483,0.0622042923743258,0 3/4 -1,-9,-9,0,0.828550310938467,True,True
W19,4 mixed ecological signs; 10 non-Hurwitz at I,0.7,-1,-3,-1/2,0,-1,3/2,2,1/2,-1,1,2,1/4,41/4,8.49264068711928514640506617263,4991.7391430065662495365232504347215,HP (40 digits),,,1.7573593128807148536,4981.4891430065662495,0.206927312437,0.997946607444,0.00035265349849,0.3169427969 0.3508048166 0.3322523863,0.9516473412 1.0533208966 0.9976156678,0.45488925721611757332,0.4351864949588109,-0.03605240307965807,False,0.0200131920304887,0.5612310241 1.5874010519 1.1224620483,0.0622042923743258,0 -1 3/4,-9,-9,0,0.828550310938467,True,True
W20,4 mixed ecological signs; 10 non-Hurwitz at I,0.7,-1,-3,1/2,0,-1,-3/2,-2,-1/2,-1,1,2,1/4,41/4,8.49264068711928514640506617263,4991.7391430065662495365232504347215,HP (40 digits),,,1.7573593128807148536,4981.4891430065662495,0.206927312437,0.997946607444,0.00035265349849,0.3169427969 0.3508048166 0.3322523863,0.9516473412 1.0533208966 0.9976156678,0.45488925721611757332,0.4351864949588109,-0.03605240307965807,False,0.0200131920304887,0.5612310241 1.5874010519 1.1224620483,0.0622042923743258,0 -1 3/4,-9,-9,0,0.828550310938467,True,True
