id,alpha,boundary,norm,g0,local_first_order,directional_scan,slsqp,de,best_upper_bound_hp,hp_residual,exact_or_lower_bound,label,m_frac,m_Cain
W18,0.7,P,frob,0.25,0.11785113019969959,0.12899456638814438,0.11803398874989401,0.11811016627162645,0.118033988749898523428920831343,-1.1479e-41,0.1180339887498948482,HP; see exact Eckart-Young values,4981.4891430065662495,1.7573593128807148536
W18,0.7,P,max,0.25,0.06250000000109399,0.0686935521987934,0.06250000000000007,0.06270669148065429,0.0625000000000000663056417610599,1.0102e-39,0.039344662916631616068,HP; see exact Eckart-Young values,4981.4891430065662495,1.7573593128807148536
W22,0.7,frac,frob,4719.939701040353,5.99699560201767,,,,,,,NOT REACHED: the strict-P boundary is crossed first along every tried direction (the target boundary is not the nearest boundary of the class),4719.9397010403383697,0.75
W22,0.7,frac,max,4719.939701040353,2.596907837035139,,,,,,,NOT REACHED: the strict-P boundary is crossed first along every tried direction (the target boundary is not the nearest boundary of the class),4719.9397010403383697,0.75
W22,0.7,cain,frob,0.7500000000000018,0.04330014259700515,0.051271486933541166,0.046194829735295796,0.04961070411080021,0.0461948297352959193247411606593,0.0,,HP upper bound (40 digits) - no rigorous lower bound,4719.9397010403383697,0.75
W22,0.7,cain,max,0.7500000000000018,0.016901408451400497,0.0287585581981604,0.017769690562174492,0.0286549739387922,0.0177696905621744786054895792849,-9.1835e-41,,HP upper bound (40 digits) - no rigorous lower bound,4719.9397010403383697,0.75
W22,0.7,P,frob,0.25,0.11785113019969959,0.13068186886250802,0.11803398874989691,0.11815700869190507,0.118033988749896923307237803568,-2.2959e-41,0.1180339887498948482,HP; see exact Eckart-Young values,4719.9397010403383697,0.75
W22,0.7,P,max,0.25,0.06250000000109399,0.07466241613660406,0.062499999998097924,0.06287033612836546,0.0625000000000002862939927841526,-3.4682e-35,0.039344662916631616068,HP; see exact Eckart-Young values,4719.9397010403383697,0.75
W26,0.7,frac,frob,6064.891090907116,3.0753515395170656,,,,,,,NOT REACHED: the strict-P boundary is crossed first along every tried direction (the target boundary is not the nearest boundary of the class),6064.8910909070977742,0.11916848035314089087
W26,0.7,frac,max,6064.891090907116,1.3307179104263789,,,,,,,NOT REACHED: the strict-P boundary is crossed first along every tried direction (the target boundary is not the nearest boundary of the class),6064.8910909070977742,0.11916848035314089087
W26,0.7,cain,frob,0.11916848035313166,0.0048130337330586715,0.005275664703025741,0.004839987426410635,0.005393469505111881,0.00483998742641142582138507138916,0.0,,HP upper bound (40 digits) - no rigorous lower bound,6064.8910909070977742,0.11916848035314089087
W26,0.7,cain,max,0.11916848035313166,0.0017744649963974748,0.0024918510562095954,0.0017832504982957839,0.0025106711321388054,0.00178325050970146952463242718003,-3.6734e-40,,HP upper bound (40 digits) - no rigorous lower bound,6064.8910909070977742,0.11916848035314089087
W26,0.7,P,frob,1.0,0.5298129428262617,0.32706022871348994,0.3027756377319924,0.30316910405695213,0.302775637731995432468584096023,2.2959e-41,0.30277563773199464656,HP; see exact Eckart-Young values,6064.8910909070977742,0.11916848035314089087
W26,0.7,P,max,1.0,0.26666666666491967,0.2126382431798124,0.2000000000000003,0.20045658548390727,0.200000000000000281291458709761,1.8367e-40,0.10092521257733154885,HP; see exact Eckart-Young values,6064.8910909070977742,0.11916848035314089087
W28,0.9,frac,frob,0.14983051020694305,0.0029517384390001563,0.0033857772311343976,0.002942652631266444,0.003277895708934466,0.00294265263126572711270820013095,1.2241e-39,,HP upper bound (40 digits) - no rigorous lower bound,0.14983051020693282322,16.675444679663241336
W28,0.9,frac,max,0.14983051020694305,0.001066544091912899,0.0018761012501019767,0.0010637480038239657,0.001978113130511577,0.00106374800382393116589056797094,5.0724e-39,,HP upper bound (40 digits) - no rigorous lower bound,0.14983051020693282322,16.675444679663241336
W28,0.9,cain,frob,16.675444679663244,0.34357748498500695,0.688103888842883,0.6029176441519225,0.7243338907935198,0.602917644151926165687540233294,-3.6734e-40,,HP upper bound (40 digits) - no rigorous lower bound,0.14983051020693282322,16.675444679663241336
W28,0.9,cain,max,16.675444679663244,0.13573341891534238,0.3477324862626234,0.21383171850549743,0.41015081388322705,0.213831718505497575776738369811,9.1835e-40,,HP upper bound (40 digits) - no rigorous lower bound,0.14983051020693282322,16.675444679663241336
W28,0.9,P,frob,1.0,0.4364357804732788,0.3267272011244612,0.30277563773199473,0.30674299148554196,0.30277563773199499681477940064,0.0,0.30277563773199464656,HP; see exact Eckart-Young values,0.14983051020693282322,16.675444679663241336
W28,0.9,P,max,1.0,0.22222222222131466,0.21419561271334198,0.20000000000000012,0.21373866787029705,0.200000000000000105949799700604,-5.5675e-39,0.10092521257733154885,HP; see exact Eckart-Young values,0.14983051020693282322,16.675444679663241336
W34,0.99,frac,frob,0.6789859538039273,0.03178804445732586,0.034846173828775744,0.0306810532510839,0.03408574234033738,0.0306810532510840360457517462186,-2.1979e-39,,HP upper bound (40 digits) - no rigorous lower bound,0.67898595380393470398,0.34314575050761980479
W34,0.99,frac,max,0.6789859538039273,0.011414770971512741,0.019471601490239233,0.011078427180814273,0.026323655765074807,0.0110784271808143357146262884988,2.4045e-39,,HP upper bound (40 digits) - no rigorous lower bound,0.67898595380393470398,0.34314575050761980479
W34,0.99,cain,frob,0.3431457505076221,0.016101193513455674,0.018271977577096032,0.016405103916226637,0.017096193275464074,0.0164051039190884026790387773193,0.0,,HP upper bound (40 digits) - no rigorous lower bound,0.67898595380393470398,0.34314575050761980479
W34,0.99,cain,max,0.3431457505076221,0.00581325363470128,0.009570331910918347,0.005905162130149294,0.010033214889278235,0.00590516213017036742120145910399,0.0,,HP upper bound (40 digits) - no rigorous lower bound,0.67898595380393470398,0.34314575050761980479
W34,0.99,P,frob,1.0,0.5773502691890483,0.33333333333342086,0.30277563773199534,0.30375322118565207,0.30277563773199538792781346664,0.0,0.30277563773199464656,HP; see exact Eckart-Young values,0.67898595380393470398,0.34314575050761980479
W34,0.99,P,max,1.0,0.333333333329916,0.22774270821926348,0.20000000000000012,0.22992787068722717,0.200000000000000108115452901557,4.2474e-40,0.10092521257733154885,HP; see exact Eckart-Young values,0.67898595380393470398,0.34314575050761980479
W02,0.8,frac,frob,68.7154941467416,0.699583347563189,0.6111292470885055,0.4629024251367239,,0.462902425136724255002105437284,5.602e-39,,HP upper bound (40 digits) - no rigorous lower bound,68.715494146741627374,19.0
W02,0.8,frac,max,68.7154941467416,0.26931260177674954,0.38249577321045136,0.17208306669143061,0.6305596972233404,0.172083066691430565612162354646,8.0292e-40,,HP upper bound (40 digits) - no rigorous lower bound,68.715494146741627374,19.0
W02,0.8,cain,frob,19.00000000000001,0.37714451165902346,0.8357907952233693,0.7071067811865469,0.7253116844276901,0.707106781186548185612652896932,3.6734e-40,,HP upper bound (40 digits) - no rigorous lower bound,68.715494146741627374,19.0
W02,0.8,cain,max,19.00000000000001,0.15079365078320275,0.38508126515352986,0.24999999999999709,0.41252703287654624,0.250000000000000353883589099269,-1.8367e-40,,HP upper bound (40 digits) - no rigorous lower bound,68.715494146741627374,19.0
W02,0.8,P,frob,1.0,0.3651483716717725,0.326458516895393,0.3027756377319945,0.3049574206128642,0.302775637731995512204233371241,-2.2959e-41,0.30277563773199464656,HP; see exact Eckart-Young values,68.715494146741627374,19.0
W02,0.8,P,max,1.0,0.16666666666649999,0.21329381808708578,0.2000000000000002,0.22517584632234677,0.200000000000000190817894875128,-1.2914e-38,0.10092521257733154885,HP; see exact Eckart-Young values,68.715494146741627374,19.0
W03,0.95,frac,frob,3.156220438733939,0.15073397255159382,0.14099390538172102,0.1313012870275593,0.20057086182424314,0.131301287027559286858986389696,4.9408e-40,,HP upper bound (40 digits) - no rigorous lower bound,3.1562204387339389052,1.261
