alpha,R3,R3^3,s,t_boundary,margin_simplex_inside,margin_direct_eig_inside,margin_simplex_outside,margin_direct_eig_outside
0.99,2.0559405561055195,8.690237805515874,2.9546808538753973,5.735556951640632,1.2353058864711386e-07,1.235305899793815e-07,-1.2353048739477401e-07,-1.235304871727294e-07
0.99,2.0559405561055195,8.690237805515874,3.3022903660960323,5.3879474394199445,1.160438845015932e-07,1.1604388494568241e-07,-1.1604379368534978e-07,-1.1604379235308215e-07
0.99,2.0559405561055195,8.690237805515874,3.6498998783166674,5.040337927199253,1.0855718013402793e-07,1.0855718102220635e-07,-1.0855709886570253e-07,-1.085570977554795e-07
0.99,2.0559405561055195,8.690237805515874,3.9975093905373025,4.692728414978566,1.0107047643259648e-07,1.010704770987303e-07,-1.0107040404605527e-07,-1.0107040271378764e-07
0.99,2.0559405561055195,8.690237805515874,4.345118902757937,4.345118902757875,9.358377317525424e-08,9.358377361934345e-08,-9.35837085602742e-08,-9.35837085602742e-08
0.99,2.0559405561055195,8.690237805515874,4.692728414978572,3.997509390537186,8.60970703620012e-08,8.609707147222423e-08,-8.609701329653774e-08,-8.609701196427011e-08
0.99,2.0559405561055195,8.690237805515874,5.040337927199207,3.649899878316497,7.861036754874817e-08,7.86103686589712e-08,-7.861031714462285e-08,-7.861031603439983e-08
0.99,2.0559405561055195,8.690237805515874,5.387947439419842,3.302290366096178,7.112365763006778e-08,7.11236582962016e-08,-7.112362876426914e-08,-7.112362854222454e-08
0.99,2.0559405561055195,8.690237805515874,5.735556951640477,2.9546808538754896,6.363695592703777e-08,6.363695637112698e-08,-6.363693194622044e-08,-6.363693105804202e-08
0.99,2.0559405561055195,8.690237805515874,6.0831664638611125,2.6070713416548004,5.615025444605237e-08,5.615025511218619e-08,-5.615023490612714e-08,-5.615023446203793e-08
0.99,2.0559405561055195,8.690237805515874,6.430775976081747,2.2594618294341102,4.8663553631200784e-08,4.86635542973346e-08,-4.866353719990002e-08,-4.86635363117216e-08
0.99,2.0559405561055195,8.690237805515874,6.778385488302382,1.9118523172134205,4.1176853260438406e-08,4.1176854148616826e-08,-4.1176838827539086e-08,-4.1176838827539086e-08
0.99,2.0559405561055195,8.690237805515874,7.125995000523018,1.5642428049927313,3.369015333376524e-08,3.369015444398826e-08,-3.369014045517815e-08,-3.369013956699973e-08
0.99,2.0559405561055195,8.690237805515874,7.473604512743652,1.216633292772042,2.620345340709207e-08,2.620345385118128e-08,-2.620344163872801e-08,-2.62034411946388e-08
0.99,2.0559405561055195,8.690237805515874,7.821214024964287,0.8690237805517234,1.871674570885773e-08,1.871674659703615e-08,-1.8716750371794433e-08,-1.8716749927705223e-08
0.99,2.0559405561055195,8.690237805515874,8.168823537184922,0.5214142683310341,1.123004711445219e-08,1.1230047780586006e-08,-1.123005066716587e-08,-1.123005022307666e-08
0.99,2.0559405561055195,8.690237805515874,8.516433049405556,0.17380475611034468,3.743348520046652e-09,3.743349186180467e-09,-3.743350962537306e-09,-3.743349630269677e-09
0.99,2.0559405561055195,8.690237805515874,8.646786616488296,0.0434511890277251,9.358338548537404e-10,9.3583474303216e-10,-9.35841182325703e-10,-9.35840738236493e-10
0.95,2.315660016952016,12.417220438733931,0.0,12.417220438734022,1.651930985335781e-07,1.6519309964380113e-07,-1.6519287959759765e-07,-1.651928773771516e-07
0.95,2.315660016952016,12.417220438733931,0.24834440877467864,12.168876029959035,1.618892393473459e-07,1.618892400134797e-07,-1.618890186350086e-07,-1.6188901774683018e-07
0.95,2.315660016952016,12.417220438733931,0.7450332263240359,11.672187212409602,1.5528151231514187e-07,1.5528151275923108e-07,-1.552813067018377e-07,-1.552813069238823e-07
0.95,2.315660016952016,12.417220438733931,1.2417220438733931,11.175498394860691,1.486737786215997e-07,1.4867377950977811e-07,-1.4867360143000496e-07,-1.4867360076387115e-07
0.95,2.315660016952016,12.417220438733931,1.7384108614227503,10.678809577311258,1.4206605225552948e-07,1.4206605225552948e-07,-1.4206588860865565e-07,-1.4206588838661105e-07
0.95,2.315660016952016,12.417220438733931,2.2350996789721074,10.18212075976182,1.3545832611150388e-07,1.354583272217269e-07,-1.3545817578730635e-07,-1.3545817534321714e-07
0.95,2.315660016952016,12.417220438733931,2.7317884965214647,9.685431942212391,1.2885060018952288e-07,1.2885060041156748e-07,-1.2885046229982322e-07,-1.28850461855734e-07
0.95,2.315660016952016,12.417220438733931,3.228477314070822,9.188743124662958,1.222428749336757e-07,1.222428753777649e-07,-1.222427488123401e-07,-1.2224274814620628e-07
0.95,2.315660016952016,12.417220438733931,3.72516613162018,8.692054307113521,1.1563515012191772e-07,1.1563515078805153e-07,-1.1563503443667855e-07,-1.1563503377054474e-07
0.95,2.315660016952016,12.417220438733931,4.221854949169537,8.195365489564614,1.0902741842677699e-07,1.090274190929108e-07,-1.0902732716644437e-07,-1.0902732627826595e-07
0.95,2.315660016952016,12.417220438733931,4.718543766718894,7.698676672015184,1.0241969405910822e-07,1.0241969472524204e-07,-1.0241961234669361e-07,-1.024196116805598e-07
0.95,2.315660016952016,12.417220438733931,5.215232584268252,7.201987854465749,9.581196991348406e-08,9.581197102370709e-08,-9.581189708285365e-08,-9.581189641671983e-08
0.95,2.315660016952016,12.417220438733931,5.711921401817609,6.705299036916312,8.920424621194911e-08,8.920424710012753e-08,-8.920418137492447e-08,-8.920418093083526e-08
0.95,2.315660016952016,12.417220438733931,6.208610219366966,6.208610219366879,8.259652339859258e-08,8.2596524286771e-08,-8.25964654449507e-08,-8.25964658890399e-08
0.95,2.315660016952016,12.417220438733931,6.7052990369163235,5.711921401817442,7.598880036319144e-08,7.598880147341447e-08,-7.598874951497692e-08,-7.59887486267985e-08
0.95,2.315660016952016,12.417220438733931,7.201987854465681,5.2152325842680085,6.938107821596873e-08,6.938107866005794e-08,-6.938103269682472e-08,-6.938103225273551e-08
0.95,2.315660016952016,12.417220438733931,7.698676672015037,4.718543766719101,6.277334874127405e-08,6.277334940740786e-08,-6.277332276205527e-08,-6.277332231796606e-08
0.95,2.315660016952016,12.417220438733931,8.195365489564395,4.2218549491696695,5.616562703814054e-08,5.616562792631896e-08,-5.616560527776926e-08,-5.616560438959084e-08
0.95,2.315660016952016,12.417220438733931,8.692054307113752,3.7251661316202327,4.955790555705164e-08,4.9557905779096245e-08,-4.955788801552785e-08,-4.955788712734943e-08
0.95,2.315660016952016,12.417220438733931,9.188743124663109,3.2284773140707976,4.295018474209655e-08,4.295018563027497e-08,-4.295016964306342e-08,-4.2950168532840394e-08
0.95,2.315660016952016,12.417220438733931,9.685431942212468,2.7317884965213626,3.6342463927141466e-08,3.6342464815319886e-08,-3.6342451270598986e-08,-3.6342450382420566e-08
0.95,2.315660016952016,12.417220438733931,10.182120759761824,2.2350996789719275,2.9734743778320194e-08,2.97347440003648e-08,-2.9734732232000738e-08,-2.9734731787911528e-08
0.95,2.315660016952016,12.417220438733931,10.678809577311181,1.738410861422493,2.3127023629498922e-08,2.3127023407454317e-08,-2.312701319340249e-08,-2.312701274931328e-08
0.95,2.315660016952016,12.417220438733931,11.175498394860538,1.2417220438735872,1.6519297041384107e-08,1.6519297485473317e-08,-1.6519300594097786e-08,-1.6519299705919366e-08
0.95,2.315660016952016,12.417220438733931,11.672187212409897,0.7450332263241524,9.911577780741254e-09,9.911578002785859e-09,-9.911581333454933e-09,-9.911580223231908e-09
0.95,2.315660016952016,12.417220438733931,12.168876029959252,0.24834440877471753,3.3038589641876115e-09,3.3038594082768213e-09,-3.303860740544451e-09,-3.303860518499846e-09
0.95,2.315660016952016,12.417220438733931,12.355134336540262,0.06208610219387789,8.259615214001315e-10,8.259621875339462e-10,-8.259681827382792e-10,-8.259670725152546e-10
0.9,2.756073309145875,20.934967727204402,0.0,20.934967727203663,1.3623776573545854e-07,1.3623776751181538e-07,-1.3623757100234002e-07,-1.3623756900393857e-07
0.9,2.756073309145875,20.934967727204402,0.418699354544088,20.516268372659944,1.3351300687247658e-07,1.3351300709452119e-07,-1.335128230195437e-07,-1.3351282190932068e-07
