alpha,b,g=1-b,W_alpha,W_over_T1
0.8,0.105925372518,0.894074627482,48.6019688144,50.9813525201
0.8,0.11220184543,0.88779815457,48.8890548281,48.4137955333
0.8,0.118850222744,0.881149777256,49.1927190821,45.9894609334
0.8,0.125892541179,0.874107458821,49.5139029763,43.7003234949
0.8,0.133352143216,0.866647856784,49.8536005025,41.5388070347
0.8,0.141253754462,0.858746245538,50.2128612234,39.4977593611
0.8,0.149623565609,0.850376434391,50.5927934402,37.5704286317
0.8,0.158489319246,0.841510680754,50.9945675659,35.7504410381
0.8,0.167880401812,0.832119598188,51.4194197214,34.0317797448
0.8,0.177827941004,0.822172058996,51.8686555736,32.4087650123
0.8,0.188364908949,0.811635091051,52.3436544341,30.876035437
0.8,0.199526231497,0.800473768503,52.8458736449,29.4285302452
0.8,0.211348903984,0.788651096016,53.3768532718,28.0614725833
0.8,0.223872113857,0.776127886143,53.9382211358,26.7703537457
0.8,0.237137370566,0.762862629434,54.5316982103,25.5509182904
0.8,0.251188643151,0.748811356849,55.1591044172,24.3991499887
0.8,0.26607250598,0.73392749402,55.8223648561,23.3112585653
0.8,0.281838293126,0.718161706874,56.5235165057,22.2836671809
0.8,0.298538261892,0.701461738108,57.2647154385,21.3130006168
0.8,0.316227766017,0.683772233983,58.0482445928,20.3960741209
0.8,0.334965439158,0.665034560842,58.8765221515,19.529882877
0.8,0.354813389234,0.645186610766,59.7521105797,18.7115920628
0.8,0.375837404288,0.624162595712,60.6777263782,17.9385274607
0.8,0.398107170553,0.601892829447,61.6562506127,17.2081665924
0.8,0.421696503429,0.578303496571,62.6907402866,16.5181303449
0.8,0.446683592151,0.553316407849,63.7844406271,15.8661750604
0.8,0.473151258961,0.526848741039,64.9407983612,15.2501850639
0.8,0.501187233627,0.498812766373,66.1634760653,14.6681656023
0.8,0.530884444231,0.469115555769,67.4563676754,14.1182361725
0.8,0.56234132519,0.43765867481,68.8236152565,13.598624215
0.8,0.595662143529,0.404337856471,70.2696271308,13.1076591532
0.8,0.63095734448,0.36904265552,71.7990974802,12.6437667579
0.8,0.668343917569,0.331656082431,73.4170275395,12.2054638188
0.8,0.707945784384,0.292054215616,75.1287485125,11.7913531061
0.8,0.749894209332,0.250105790668,76.93994635,11.4001186052
0.8,0.794328234724,0.205671765276,78.8566885409,11.0305210105
0.8,0.841395141645,0.158604858355,80.8854530809,10.6813934615
0.8,0.891250938134,0.108749061866,83.0331597944,10.351637512
0.8,0.944060876286,0.0559391237141,85.3072042031,10.0402193152
0.8,1,0,87.7154941467,9.7461660163
0.8,1.05925372518,-0.0592537251773,90.2664893836,9.46856234075
0.8,1.1220184543,-0.122018454302,92.9692444121,9.20654736665
0.8,1.18850222744,-0.188502227437,95.83345478,8.95931147321
0.8,1.25892541179,-0.258925411794,98.8695071679,8.72609345519
0.8,1.33352143216,-0.333521432163,102.088533559,8.50617779502
0.8,1.41253754462,-0.412537544623,105.502469834,8.29889208453
0.8,1.49623565609,-0.496235656094,109.124119155,8.1036045886
0.8,1.58489319246,-0.584893192461,112.967220551,7.91972194359
