alpha,b,g=1-b,W_alpha,W_over_T1
0.8,33.4965439158,-32.4965439158,2137.54227567,7.09042395221
0.8,35.4813389234,-34.4813389234,2296.58290289,7.19183339304
0.8,37.5837404288,-36.5837404288,2468.45397362,7.29764149619
0.8,39.8107170553,-38.8107170553,2654.23302126,7.40792434686
0.8,42.1696503429,-41.1696503429,2855.09035483,7.52276243858
0.8,44.6683592151,-43.6683592151,3072.29717369,7.64224069635
0.8,47.3151258961,-46.3151258961,3307.23439954,7.76644850622
0.8,50.1187233627,-49.1187233627,3561.40228922,7.89547975125
0.8,53.0884444231,-52.0884444231,3836.43089812,8.02943285347
0.8,56.234132519,-55.234132519,4134.09146973,8.16841082205
0.8,59.5662143529,-58.5662143529,4456.30883397,8.31252130719
0.8,63.095734448,-62.095734448,4805.17490405,8.46187666002
0.8,66.8343917569,-65.8343917569,5182.96336992,8.61659399812
