g12,g13,g23,alpha,T1,T_alpha,W_alpha,W_over_T1,L3_cain,L3_frac
0.7,-4.2,-2,0.75,20.7947328587,571.652072463,550.857339604,26.4902340101,-14.2947328587,-565.152072463
0.7,-4.15,-2,0.75,20.6946247778,569.824353264,549.129728486,26.5348965918,-14.2446247778,-563.374353264
0.7,-4.1,-2,0.75,20.5942728577,567.993550407,547.39927755,26.5801701925,-14.1942728577,-561.593550407
0.7,-4.05,-2,0.75,20.4936735035,566.159632348,545.665958845,26.626068711,-14.1436735035,-559.809632348
0.7,-4,-2,0.75,20.3928230313,564.322566998,543.929743966,26.6726064916,-14.0928230313,-558.022566998
0.7,-3.95,-2,0.75,20.2917176647,562.482321707,542.190604042,26.7197983434,-14.0417176647,-556.232321707
0.7,-3.9,-2,0.75,20.1903535318,560.638863257,540.448509725,26.7676595595,-13.9903535318,-554.438863257
0.7,-3.85,-2,0.75,20.0887266616,558.792157841,538.703431179,26.8162059375,-13.9387266616,-552.642157841
0.7,-3.8,-2,0.75,19.9868329805,556.942171051,536.955338071,26.8654538012,-13.8868329805,-550.842171051
0.7,-3.75,-2,0.75,19.8846683086,555.088867865,535.204199557,26.9154200236,-13.8346683086,-549.038867865
0.7,-3.7,-2,0.75,19.7822283557,553.232212627,533.449984271,26.9661220505,-13.7822283557,-547.232212627
0.7,-3.65,-2,0.75,19.6795087171,551.372169033,531.692660316,27.0175779263,-13.7295087171,-545.422169033
0.7,-3.6,-2,0.75,19.5765048694,549.508700117,529.932195247,27.0698063205,-13.6765048694,-543.608700117
0.7,-3.55,-2,0.75,19.473212166,547.641768228,528.168556062,27.1228265558,-13.623212166,-541.791768228
0.7,-3.5,-2,0.75,19.3696258322,545.771335016,526.401709184,27.1766586379,-13.5696258322,-539.971335016
0.7,-3.45,-2,0.75,19.2657409603,543.897361415,524.631620455,27.231323287,-13.5157409603,-538.147361415
0.7,-3.4,-2,0.75,19.1615525046,542.019807619,522.858255115,27.2868419712,-13.4615525046,-536.319807619
0.7,-3.35,-2,0.75,19.0570552751,540.138633068,521.081577793,27.3432369414,-13.4070552751,-534.488633068
0.7,-3.3,-2,0.75,18.9522439328,538.253796421,519.301552488,27.4005312684,-13.3522439328,-532.653796421
0.7,-3.25,-2,0.75,18.8471129828,536.365255542,517.518142559,27.4587488828,-13.2971129828,-530.815255542
0.7,-3.2,-2,0.75,18.7416567679,534.472967472,515.731310704,27.5179146162,-13.2416567679,-528.972967472
0.7,-3.15,-2,0.75,18.6358694623,532.576888411,513.941018948,27.5780542458,-13.1858694623,-527.126888411
0.7,-3.1,-2,0.75,18.5297450641,530.676973691,512.147228627,27.6391945413,-13.1297450641,-525.276973691
0.7,-3.05,-2,0.75,18.4232773878,528.773177754,510.349900367,27.7013633147,-13.0732773878,-523.423177754
0.7,-3,-2,0.75,18.3164600564,526.865454127,508.54899407,27.7645894733,-13.0164600564,-521.565454127
0.7,-2.95,-2,0.75,18.209286493,524.953755392,506.744468899,27.8289030761,-12.959286493,-519.703755392
0.7,-2.9,-2,0.75,18.101749912,523.038033164,504.936283252,27.8943353934,-12.901749912,-517.838033164
0.7,-2.85,-2,0.75,17.9938433093,521.118238061,503.124394752,27.9609189712,-12.8438433093,-515.968238061
0.7,-2.8,-2,0.75,17.885559453,519.194319672,501.308760219,28.0286876984,-12.785559453,-514.094319672
0.7,-2.75,-2,0.75,17.7768908722,517.266226531,499.489335659,28.0976768801,-12.7268908722,-512.216226531
0.7,-2.7,-2,0.75,17.6678298463,515.333906084,497.666076238,28.1679233142,-12.6678298463,-510.333906084
0.7,-2.65,-2,0.75,17.5583683929,513.397304654,495.838936261,28.2394653744,-12.6083683929,-508.447304654
0.7,-2.6,-2,0.75,17.4484982552,511.456367411,494.007869155,28.3123430985,-12.5484982552,-506.556367411
0.7,-2.55,-2,0.75,17.338210889,509.511038333,492.172827444,28.3865982826,-12.488210889,-504.661038333
0.7,-2.5,-2,0.75,17.2274974477,507.561260172,490.333762725,28.4622745824,-12.4274974477,-502.761260172
0.7,-2.45,-2,0.75,17.1163487679,505.606974416,488.490625648,28.5394176218,-12.3663487679,-500.856974416
0.7,-2.4,-2,0.75,17.0047553528,503.648121245,486.643365892,28.6180751087,-12.3047553528,-498.948121245
0.7,-2.35,-2,0.75,16.8927073553,501.684639494,484.791932139,28.6982969598,-12.2427073553,-497.034639494
0.7,-2.3,-2,0.75,16.7801945593,499.716466611,482.936272051,28.7801354355,-12.1801945593,-495.116466611
0.7,-2.25,-2,0.75,16.6672063603,497.743538605,481.076332245,28.8636452832,-12.1172063603,-493.193538605
0.7,-2.2,-2,0.75,16.5537317443,495.765790009,479.212058265,28.9488838933,-12.0537317443,-491.265790009
0.7,-2.15,-2,0.75,16.4397592652,493.783153822,477.343394557,29.0359114666,-11.9897592652,-489.333153822
0.7,-2.1,-2,0.75,16.3252770211,491.795561465,475.470284444,29.1247911953,-11.9252770211,-487.395561465
0.7,-2.05,-2,0.75,16.210272628,489.802942725,473.592670097,29.2155894577,-11.860272628,-485.452942725
0.7,-2,-2,0.75,16.0947331922,487.805225698,471.710492506,29.3083760304,-11.7947331922,-483.505225698
0.7,-1.95,-2,0.75,15.9786452806,485.802336735,469.823691455,29.4032243163,-11.7286452806,-481.552336735
0.7,-1.9,-2,0.75,15.8619948882,483.79420038,467.932205492,29.5002115931,-11.6619948882,-479.59420038
