triple,regime,alpha,W_alpha,C_beta*(1-alpha),27/K^3+(9S-27)/K^2
no_pair_loops_111,alpha->2/3,0.666677478474,1.32602015011e+14,21.7648863946,1.32602015164e+14
no_pair_loops_111,alpha->2/3,0.66668033115,6.56853847957e+13,21.7647001241,6.56853849167e+13
no_pair_loops_111,alpha->2/3,0.6666839365,3.2537805781e+13,21.7644647064,3.25378058768e+13
no_pair_loops_111,alpha->2/3,0.666688493114,1.61179164606e+13,21.7641671741,1.61179165364e+13
no_pair_loops_111,alpha->2/3,0.666694251983,7.98419175631e+12,21.7637911386,7.98419181628e+12
no_pair_loops_111,alpha->2/3,0.666701530319,3.95507580965e+12,21.7633158867,3.9550758571e+12
no_pair_loops_111,alpha->2/3,0.666710729031,1.95920975482e+12,21.7627152404,1.95920979237e+12
no_pair_loops_111,alpha->2/3,0.666722354807,970532143728,21.7619561148,970532173441
no_pair_loops_111,alpha->2/3,0.666737048022,480775730260,21.7609966951,480775753773
no_pair_loops_111,alpha->2/3,0.666755618016,238165980776,21.7597841344,238165999383
no_pair_loops_111,alpha->2/3,0.66677908767,117983888554,21.7582516416,117983903279
no_pair_loops_111,alpha->2/3,0.66680874975,58448449660.2,21.7563148034,58448461313.7
no_pair_loops_111,alpha->2/3,0.666846238116,28955597197,21.7538669339,28955606420.3
no_pair_loops_111,alpha->2/3,0.66689361772,14345105040.8,21.7507731984,14345112341.1
no_pair_loops_111,alpha->2/3,0.666953498348,7107055243.64,21.7468631864,7107061022.54
no_pair_loops_111,alpha->2/3,0.667029178372,3521229149.53,21.7419215248,3521233724.61
no_pair_loops_111,alpha->2/3,0.667124826434,1744706711.82,21.7356760146,1744710334.39
no_pair_loops_111,alpha->2/3,0.667245711065,864530497.083,21.7277826378,864533365.996
no_pair_loops_111,alpha->2/3,0.667398490889,428425950.355,21.7178066077,428428222.95
no_pair_loops_111,alpha->2/3,0.667591581394,212333566.169,21.70519842,212335366.937
no_pair_loops_111,alpha->2/3,0.667835618483,105249834.5,21.6892635846,105251261.943
no_pair_loops_111,alpha->2/3,0.668144044319,52179482.0276,21.6691243715,52180614.084
no_pair_loops_111,alpha->2/3,0.668533847758,25874588.0806,21.6436714633,25875486.4186
no_pair_loops_111,alpha->2/3,0.669026500133,12834156.6001,21.6115028509,12834870.014
no_pair_loops_111,alpha->2/3,0.669649137953,6368141.18585,21.570846608,6368708.28362
no_pair_loops_111,alpha->2/3,0.670436057642,3161176.10825,21.5194632884,3161627.43857
no_pair_loops_111,alpha->2/3,0.671430604677,1570089.47237,21.4545225724,1570449.20714
no_pair_loops_111,alpha->2/3,0.67268756116,780370.724795,21.3724473651,780657.990655
no_pair_loops_111,alpha->2/3,0.674276163352,388198.875463,21.2687167618,388428.80731
no_pair_loops_111,alpha->2/3,0.676283915378,193320.45695,21.1376170253,193505.031667
no_pair_loops_111,alpha->2/3,0.678821409167,96401.9045829,20.9719268589,96550.6007949
no_pair_loops_111,alpha->2/3,0.682028416133,48152.0276404,20.7625196398,48272.3478969
no_pair_loops_111,alpha->2/3,0.686081586124,24100.4460217,20.4978607023,24198.3301853
no_pair_loops_111,alpha->2/3,0.691204177733,12091.9796718,20.1633719798,12172.1323155
no_pair_loops_111,alpha->2/3,0.697678355932,6084.4249736,19.7406290089,6150.57488169
no_pair_loops_111,alpha->2/3,0.705860734415,3071.55017034,19.2063460649,3126.65634938
no_pair_loops_111,alpha->2/3,0.716202018756,1555.94081434,18.5310935262,1602.35656288
no_pair_loops_111,alpha->2/3,0.729271832387,790.671844461,17.6776768187,830.276308441
no_pair_loops_111,alpha->2/3,0.745790092856,402.511154018,16.5990876465,436.816390003
no_pair_loops_111,alpha->2/3,0.766666666667,204.548423941,15.2359146596,234.789506326
all_antagonistic_333,alpha->1,0.9999999,1.69646083279e-05,1.69646003205e-05,81
all_antagonistic_333,alpha->1,0.999999873615,2.14406924215e-05,2.14406796368e-05,81
all_antagonistic_333,alpha->1,0.999999840269,2.70977848338e-05,2.70977644352e-05,81
all_antagonistic_333,alpha->1,0.999999798124,3.42474934634e-05,3.42474608788e-05,81.0000000001
all_antagonistic_333,alpha->1,0.999999744859,4.32836439472e-05,4.32835918981e-05,81.0000000001
all_antagonistic_333,alpha->1,0.999999677541,5.47039729533e-05,5.47038898336e-05,81.0000000002
all_antagonistic_333,alpha->1,0.999999592461,6.91375456299e-05,6.91374128418e-05,81.0000000003
all_antagonistic_333,alpha->1,0.999999484932,8.73794070877e-05,8.73791949893e-05,81.0000000005
