triple,beta12,beta13,beta23,alpha,L3_at_kappa0,L3_cain_boundary,L3_fractional_boundary,band_width_in_L3,realizability_2sqrtG_if_G>0,evidence
"no_pair_loops_(1,1,1)",1,1,1,0.666666954597062,1,-8,-7.0205326609999e+18,7.0205326609999e+18,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666971770485,1,-8,-5.90051198105422e+18,5.90051198105422e+18,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666989968206,1,-8,-4.95917380043298e+18,4.95917380043298e+18,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667009251318,1,-8,-4.16801202223276e+18,4.16801202223276e+18,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667029684559,1,-8,-3.50306825032215e+18,3.50306825032215e+18,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667051336528,1,-8,-2.94420628492611e+18,2.94420628492611e+18,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667074279914,1,-8,-2.47450237137546e+18,2.47450237137546e+18,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667098591744,1,-8,-2.07973267101827e+18,2.07973267101827e+18,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667124353638,1,-8,-1.74794255658738e+18,1.74794255658738e+18,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667151652083,1,-8,-1.4690845787239e+18,1.4690845787239e+18,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667180578726,1,-8,-1.23471420746833e+18,1.23471420746833e+18,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666721123068,1,-8,-1.03773411208519e+18,1.03773411208519e+18,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666724371085,1,-8,-8.72179235247373e+17,8.72179235247373e+17,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667278128279,1,-8,-7.33036153175521e+17,7.33036153175521e+17,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667314598514,1,-8,-6.1609126196082e+17,6.1609126196082e+17,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667353243992,1,-8,-5.17803171620853e+17,5.17803171620853e+17,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667394194455,1,-8,-4.35195469770324e+17,4.35195469770324e+17,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667437587381,1,-8,-3.6576658597084e+17,3.6576658597084e+17,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667483568452,1,-8,-3.07414037295726e+17,3.07414037295726e+17,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667532292033,1,-8,-2.58370760440941e+17,2.58370760440941e+17,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667583921701,1,-8,-2.17151601037772e+17,2.17151601037772e+17,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667638630787,1,-8,-1.82508338602651e+17,1.82508338602651e+17,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667696602962,1,-8,-1.53391887547108e+17,1.53391887547108e+17,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666775803285,1,-8,-1.28920528029206e+17,1.28920528029206e+17,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667823126684,1,-8,-1.08353205472007e+17,1.08353205472007e+17,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667892102997,1,-8,-9.10670894932995e+16,9.10670894932995e+16,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667965193359,1,-8,-7.65387128465712e+16,7.65387128465711e+16,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666668042643148,1,-8,-6.43281197259388e+16,6.43281197259388e+16,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666812471238,1,-8,-5.40655425759716e+16,5.40655425759716e+16,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666668211676578,1,-8,-4.54402047780223e+16,4.54402047780223e+16,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666668303827701,1,-8,-3.81909094150267e+16,3.81909094150267e+16,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666668401475117,1,-8,-3.20981296439334e+16,3.20981296439334e+16,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666668504946651,1,-8,-2.69773608108087e+16,2.69773608108087e+16,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666668614589678,1,-8,-2.26735332119347e+16,2.26735332119347e+16,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666668730772293,1,-8,-1.90563161864172e+16,1.90563161864172e+16,0,FLOAT
