family,beta12,beta13,beta23,alpha,T1,T_alpha_L,T_alpha_U,T_alpha_mid,ratio_mid,W_mid,W_over_T1_mid,x1_hat,x2_hat,x3_hat,x_enclosure_radius,evidence
atlas_A,10.0,10.0,10.0,0.99999999,90.0,90.0000067108127705582838387484245801939085839,90.0000067108127705582838387484245801939805829,90.0000067108127705582838387484245801939453181,1.0000000745645863,6.710812769483709e-06,7.456458632759677e-08,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.56969e-40,CERTIFIED
atlas_A,10.0,10.0,10.0,0.999999999,90.0,90.0000006710812558707214047905177181102303972,90.0000006710812558707214047905177181102921107,90.0000006710812558707214047905177181102612539,1.0000000074564583,6.710812527899179e-07,7.456458364332422e-09,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.56969e-40,CERTIFIED
atlas_A,10.0,10.0,10.0,0.9999999999,90.0,90.0000000671081253752210808775227059284467794,90.0000000671081253752210808775227059285246559,90.0000000671081253752210808775227059284864523,1.000000000745646,6.710813238441915e-08,7.45645915382435e-10,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.56969e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.6666666766666667,284.6049894153,167584172586766602218624.920259551831819899922,167584172586766602218624.920259551831819900131,167584172586766602218624.920259551831819900027,5.888307612985139e+20,1.675841725867666e+23,5.888307612985139e+20,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.54578e-50,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.6666667666666667,284.6049894153,167586726837983082371.385282791491866100983496,167586726837983082371.385282791491866100983517,167586726837983082371.385282791491866100983507,5.888397360224699e+17,1.675867268379831e+20,5.888397360224699e+17,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.5458e-50,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.6666676666666667,284.6049894153,167612269350176303.098483232539493590506416557,167612269350176303.09848323253949359050641656,167612269350176303.098483232539493590506416559,588929483262128.9,1.67612269350176e+17,588929483262127.9,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.54598e-50,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.6666766666666667,284.6049894153,167867694500483.369463182300562428759307178887,167867694500483.369463182300562428761114591143,167867694500483.369463182300562428760210883399,589826955758.4187,167867694500198.78,589826955757.4187,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.32957e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.6667666666666666,284.6049894153,170421973942.321971922557575219538785472445482,170421973942.321971922557575219538785657032623,170421973942.321971922557575219538785564739052,598801778.8881402,170421973657.71698,598801777.8881403,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.3456e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.6676666666666666,284.6049894153,195988969.08354756697981085446491051869130456,195988969.083547566979810854464910518721506223,195988969.08354756697981085446491051870640385,688635.0428577956,195988684.47855815,688634.0428577956,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.52879e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.6766666666666666,284.6049894153,461557.795760785195455509035843674772342493324,461557.795760785195455509035843674772348933153,461557.795760785195455509035843674772345713238,1621.7487849001582,461273.19077136985,1620.7487849001582,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.54723e-39,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.7,284.6049894153,33614.8356228142356832859525042089130632980361,33614.8356228142356832859525042089130635229787,33614.8356228142356832859525042089130634108836,118.11049304467024,33330.23063339894,117.11049304467025,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.61459e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.75,284.6049894153,5570.61117569775544388745966526541477861580112,5570.61117569775544388745966526541477862868454,5570.61117569775544388745966526541477862219581,19.57313252709366,5286.006186282455,18.57313252709366,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,5.30564e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.7666666666666667,284.6049894153,3935.99462766844430187669229404101912952328914,3935.99462766844430187669229404101912953396263,3935.99462766844430187669229404101912952860238,13.829675424013667,3651.389638253144,12.829675424013665,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,6.21878e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.8,284.6049894153,2274.94486738547923484705721613164618295860691,2274.94486738547923484705721613164618296208637,2274.94486738547923484705721613164618296034664,7.993341480271256,1990.339877970179,6.993341480271256,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,7.8317e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.85,284.6049894153,1224.09806556542105893839269127793381207638984,1224.09806556542105893839269127793381207817659,1224.09806556542105893839269127793381207728321,4.301042185100973,939.4930761501212,3.301042185100973,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,8.76637e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.9,284.6049894153,742.004621707960272833527937295670488012453108,742.004621707960272833527937295670488013428768,742.00462170796027283352793729567048801293506,2.607138487741744,457.39963229266027,1.6071384877417438,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,7.3099e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.9,284.6049894153,742.004621707960272833527937295670488012453108,742.004621707960272833527937295670488013428768,742.00462170796027283352793729567048801293506,2.607138487741744,457.39963229266027,1.6071384877417438,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,7.3099e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.95,284.6049894153,468.407798607904271735481040199143289716443772,468.407798607904271735481040199143289716943357,468.407798607904271735481040199143289716696503,1.6458172415396288,183.8028091926043,0.6458172415396287,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,4.77543e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.99,284.6049894153,317.153443545097118427035175860665572265892885,317.153443545097118427035175860665572266151494,317.153443545097118427035175860665572266022189,1.1143636104084664,32.54845412979711,0.11436361040846653,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.95618e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.999,284.6049894153,287.790484875161393312511068549734447010866324,287.790484875161393312511068549734447011160198,287.790484875161393312511068549734447011013261,1.011192690143647,3.185495459861386,0.011192690143646995,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.60705e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.9999,284.6049894153,284.922890112841218305314332205144337402205731,284.922890112841218305314332205144337402487849,284.92289011284121830531433220514433740234679,1.0011169891933178,0.3179006975412335,0.0011169891933178581,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.57341e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.99999,284.6049894153,284.636773040190629142448095662250238502377045,284.636773040190629142448095662250238502612143,284.636773040190629142448095662250238502494594,1.0001116762743898,0.03178362489063602,0.0001116762743897538,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.57006e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.999999,284.6049894153,284.608167713383951374346066286267646303237364,284.608167713383951374346066286267646303484217,284.60816771338395137434606628626764630336079,1.0000111674011425,0.003178298083980735,1.1167401142581212e-05,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.56973e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.9999999,284.6049894153,284.605307244464387535718771437706988176950355,284.605307244464387535718771437706988177238351,284.605307244464387535718771437706988177091414,1.0000011167378513,0.0003178291643735065,1.1167378513864537e-06,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.56969e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.99999999,284.6049894153,284.605021198209998721067432091111252436883274,284.605021198209998721067432091111252437188902,284.605021198209998721067432091111252437036088,1.0000001116737625,3.178291001404432e-05,1.1167376256944746e-07,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.56969e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.999999999,284.6049894153,284.604992593590935471825211374903780002251848,284.60499259359093547182521137490378000250458,284.604992593590935471825211374903780002375275,1.000000011167376,3.1782909104549617e-06,1.1167375937380882e-08,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.56969e-40,CERTIFIED
atlas_A,31.6227766017,31.6227766017,31.6227766017,0.9999999999,284.6049894153,284.604989733129092903179749331754925849811873,284.604989733129092903179749331754925850082237,284.604989733129092903179749331754925849947055,1.0000000011167376,3.178291194672056e-07,1.1167376936017957e-09,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.56969e-40,CERTIFIED
