triple,beta12,beta13,beta23,k,1-alpha,T1,C_beta,T_alpha,(T-T1)/(1-alpha),(T-T1)/(C(1-alpha)),D_estimate=(T-T1-C eps)/eps^2,evidence
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,9,1.0e-9,4.19736659610102775178191,40.38892449223166636985811,4.1973666364899523343151728195980894,40.38892458253326244802386,1.0000000022358009581,90.3015960781657,HP(45 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,10,1.0e-10,4.19736659610102775178191,40.38892449223166636985811,4.197366600139920050851344375196673,40.38892299069434003622439,0.9999999628230425739,-15015.3732633363,HP(45 digits)
"mixed_(3,0.5,1)",3,0.5,1,1,0.1,11.82780492029402773405387,84.44124574685385268389514,28.177390042737472850217232545663443,163.4958512244344511616337,1.9362084225353348496,790.546054775806,HP(45 digits)
"mixed_(3,0.5,1)",3,0.5,1,2,0.01,11.82780492029402773405387,84.44124574685385268389514,12.718830072775969399393906912008431,89.10251524819416653400414,1.0552013350835007711,466.126950134031,HP(45 digits)
"mixed_(3,0.5,1)",3,0.5,1,3,0.001,11.82780492029402773405387,84.44124574685385268389514,11.912693014132701598970958590248151,84.88809383867386491709311,1.0052918225905811093,446.848091820012,HP(45 digits)
"mixed_(3,0.5,1)",3,0.5,1,4,0.0001,11.82780492029402773405387,84.44124574685385268389514,11.836253494872718498962615689817665,84.48574578690764908750208,1.0005269941207073488,445.000400537964,HP(45 digits)
"mixed_(3,0.5,1)",3,0.5,1,5,1.0e-5,11.82780492029402773405387,84.44124574685385268389514,11.82864937723313640875694269752377,84.44569391086747030772156,1.0000526776218692079,444.816401361762,HP(45 digits)
"mixed_(3,0.5,1)",3,0.5,1,6,1.0e-6,11.82780492029402773405387,84.44124574685385268389514,11.827889361984572597019445304258808,84.44169054486296557982233,1.0000052675443757231,444.798009112896,HP(45 digits)
"mixed_(3,0.5,1)",3,0.5,1,7,1.0e-7,11.82780492029402773405387,84.44124574685385268389514,11.827813364423050381138780533146775,84.44129022647084915051219,1.0000005267522595511,444.796169964666,HP(45 digits)
"mixed_(3,0.5,1)",3,0.5,1,8,1.0e-8,11.82780492029402773405387,84.44124574685385268389514,11.827805764706529682190997381852031,84.44125019481371318999247,1.000000052675204175,444.79598605061,HP(45 digits)
"mixed_(3,0.5,1)",3,0.5,1,9,1.0e-9,11.82780492029402773405387,84.44124574685385268389514,11.827805004735273925703685825034227,84.44124619164982034310689,1.0000000052675201997,444.795967659212,HP(45 digits)
"mixed_(3,0.5,1)",3,0.5,1,10,1.0e-10,11.82780492029402773405387,84.44124574685385268389514,11.827804928738152313187210408517568,84.44124579133344926590234,1.0000000005267520178,444.795965820072,HP(45 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,1,0.1,9.800000000000000155431223,93.09297627914011420015397,26.878857615365768155138355828135901,170.7885761536576799970713,1.834602168498154159,776.955998745176,HP(45 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,2,0.01,9.800000000000000155431223,93.09297627914011420015397,10.7719345637414318082811516241728,97.19345637414316528499282,1.0440471479041310828,410.048009500305,HP(45 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,3,0.001,9.800000000000000155431223,93.09297627914011420015397,9.8934771844555506626461103828705143,93.47718445555050721488694,1.0041271446221500255,384.208176410393,HP(45 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,4,0.0001,9.800000000000000155431223,93.09297627914011420015397,9.8093131140885763435122300510553338,93.13114088576188081006604,1.0004099622565222289,381.646066217666,HP(45 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,5,1.0e-5,9.800000000000000155431223,93.09297627914011420015397,9.8009309679017882259909635041584837,93.09679017880705597400566,1.0000409687155721154,381.389966694177,HP(45 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,6,1.0e-6,9.800000000000000155431223,93.09297627914011420015397,9.8000930933576434995813583895120555,93.09335764334415013494199,1.0000040965948160515,381.364204035935,HP(45 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,7,1.0e-7,9.800000000000000155431223,93.09297627914011420015397,9.8000093093014415319974272659372733,93.09301441376566203818415,1.0000004096402013562,381.34625547838,HP(45 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,8,1.0e-8,9.800000000000000155431223,93.09297627914011420015397,9.8000009309298009275553950641927975,93.09298007721241716166709,1.000000040798698836,379.807230296151,HP(45 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,9,1.0e-9,9.800000000000000155431223,93.09297627914011420015397,9.8000000930929766605016312882151951,93.09297650507040784069328,1.0000000024269316835,225.930293640539,HP(45 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,10,1.0e-10,9.800000000000000155431223,93.09297627914011420015397,9.8000000093092976317276265818977983,93.09297476296403134375884,0.99999998371331389911,-15161.760828564,HP(45 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,1,0.1,9.01483740224193591362878,65.37795565882362309029109,21.963937380296862491502554991208473,129.4909997805492657787377,1.9806523234880737083,641.130441217256,HP(45 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,2,0.01,9.01483740224193591362878,65.37795565882362309029109,9.7059253732956671011934321348167336,69.10879710537311875646517,1.0570657404159129451,373.08414465495,HP(45 digits)
