triple,beta12,beta13,beta23,alpha,T1,T_Phi=T1/rho_alpha,T_alpha,certified_fraction_(TPhi-T1)/(Talpha-T1),TPhi_over_Talpha,limit_alpha_to_1_2sqrt(SG)/(S+G),evidence
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.912667383761716,21.5199353501965,40.7731482279512,41.5998351880455,0.958830125310881,0.980127638574591,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.916170995291558,21.5199353501965,39.5758450469344,40.3148796030868,0.960679076978971,0.981668441939342,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.923730141409766,21.5199353501965,37.1631738497915,37.7398930973094,0.964443850193103,0.984718577606172,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.931052520449102,21.5199353501965,35.0275826655955,35.4767582662819,0.967816772958499,0.98733887698208,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.933391537091908,21.5199353501965,34.3835589319213,34.7972710007995,0.968840731321011,0.988110789812547,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.941829086706256,21.5199353501965,32.2003245241802,32.5042351811175,0.972332268636567,0.990650121276692,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.946821644600358,21.5199353501965,31.0038730159327,31.2544708550734,0.974256826222965,0.991982016259281,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.94919781953087,21.5199353501965,30.4574560534768,30.6853281366157,0.975137772221111,0.992573907565061,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.955633126690214,21.5199353501965,29.0473771531566,29.2213118796547,0.977415111982541,0.994047675641175,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.961253248795439,21.5199353501965,27.8937629631246,28.0286219647801,0.979280151336008,0.995188525435714,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.963531308016255,21.5199353501965,27.4454792692857,27.5663797807024,0.980004693203385,0.995614204245228,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.966161448465718,21.5199353501965,26.9411141855198,27.0471291672985,0.980819384069608,0.996080361020095,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.970447907647971,21.5199353501965,26.1482040647165,26.2325679140397,0.982098360485293,0.996784003396098,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.974191384595819,21.5199353501965,25.4838307279824,25.5516956054825,0.983167432286895,0.997344016673181,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.977460660952652,21.5199353501965,24.9239883771806,24.9791077020129,0.984065747749355,0.997793382954674,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.980315805527134,21.5199353501965,24.4499377162795,24.4950884018932,0.984824079692999,0.998156745349399,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.981237608556118,21.5199353501965,24.2997585259366,24.3419080706049,0.98506380151604,0.99826843711076,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.982809277981414,21.5199353501965,24.0468612989358,24.0841270577555,0.985466859318707,0.998452683847316,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.984986892710918,21.5199353501965,23.7029082736506,23.7338731605458,0.986013660026731,0.998695329384894,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.986888660625784,21.5199353501965,23.4085038224293,23.4343866407763,0.986480294132098,0.998895519701718,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.988549524300617,21.5199353501965,23.1558419498468,23.1775910000854,0.986879633149302,0.999061634565965,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.99,21.5199353501965,22.9385074749955,22.9568682762207,0.987222228057652,0.999200204444079,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.991266738376172,21.5199353501965,22.7511905110621,22.7667548290673,0.98751678308768,0.999316357639808,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.992373014140977,21.5199353501965,22.589468114738,22.6027098830972,0.987770521048609,0.999414151293022,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.993339153709191,21.5199353501965,22.4496353754012,22.4609373099943,0.98798946752934,0.99949681821212,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.994182908670626,21.5199353501965,22.3285733497862,22.3382468772472,0.988178673840956,0.999566952253947,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.994919781953087,21.5199353501965,22.2236447773747,22.2319451070919,0.988342393293261,0.999626648515131,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.995563312669021,21.5199353501965,22.1326109716529,22.139748603715,0.988484221623784,0.999677610067308,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.996125324879544,21.5199353501965,22.0535650192895,22.0597146112344,0.98860720967108,0.999721229759619,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.996616144846572,21.5199353501965,21.9848776605775,21.9901849186533,0.988713954394073,0.999758653322134,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.997044790764797,21.5199353501965,21.9251531216513,21.9297402014084,0.98880667287487,0.999790828358432,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.997419138459582,21.5199353501965,21.8731928243059,21.8771625967983,0.988887262855291,0.999818542625222,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.997746066095265,21.5199353501965,21.8279653826949,21.8314048303575,0.988957352544128,0.999842454130212,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.998031580552713,21.5199353501965,21.7885816562089,21.7915645957351,0.989018341820134,0.999863114944636,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.998280927798141,21.5199353501965,21.7542738983537,21.75686317918,0.98907143649017,0.999880990159061,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.998498689271092,21.5199353501965,21.7243782464507,21.7266275376142,0.989117676910418,0.999896473064691,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.998688866062578,21.5199353501965,21.6983199536228,21.7002752051832,0.989157962001517,0.999909897384161,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.998854952430062,21.5199353501965,21.6756008851572,21.6773015305339,0.989193069482562,0.999921547182692,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999,21.5199353501965,21.6557888949476,21.6572688456046,0.989223672982309,0.999931664945033,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999126673837617,21.5199353501965,21.6385087709054,21.6397972435207,0.989250356559494,0.999940458193723,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999237301414098,21.5199353501965,21.6234344958559,21.6245567035087,0.98927362706305,0.999948104940685,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999333915370919,21.5199353501965,21.6102826161314,21.6112603484409,0.989293924683236,0.999954758200413,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999418290867063,21.5199353501965,21.5988065465536,21.5996586586136,0.989311631981523,0.999960549744166,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999491978195309,21.5199353501965,21.5887916698124,21.5895344958118,0.989327081636345,0.999965593236877,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999556331266902,21.5199353501965,21.5800511119538,21.5806988162863,0.989340563101157,0.999969986869376,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999612532487954,21.5199353501965,21.5724220949781,21.5729869712199,0.989352328337155,0.999973815575813,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999661614484657,21.5199353501965,21.5657627833343,21.5662555095474,0.989362596761528,0.999977152908493,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.99970447907648,21.5199353501965,21.5599495540866,21.5603794113838,0.989371559516209,0.999980062628349,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999741913845958,21.5199353501965,21.5548746312747,21.5552496913609,0.989379383166704,0.99998260005838,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999774606609527,21.5199353501965,21.5504440339261,21.5507713203483,0.989386212899686,0.999984813238591,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999803158055271,21.5199353501965,21.5465757946403,21.5468614216865,0.989392175299529,0.999986743914083,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999828092779814,21.5199353501965,21.5431984119266,21.5434477044665,0.989397380753416,0.99998842838234,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999849868927109,21.5199353501965,21.5402495047518,21.5404671017839,0.98940192554219,0.999989898221285,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999868886606258,21.5199353501965,21.537674642212,21.5378645864475,0.989405893656307,0.999991180916068,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999885495243006,21.5199353501965,21.5354263250262,21.5355921404811,0.989409358375635,0.999992300399552,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.9999,21.5199353501965,21.5334630987687,21.5336078580364,0.989412383641089,0.999993277519094,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999912667383762,21.5199353501965,21.5317487815044,21.5318751641333,0.98941502525624,0.999994130440196,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.99992373014141,21.5199353501965,21.5302517908407,21.5303621340332,0.989417331917976,0.999994874995979,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999933391537092,21.5199353501965,21.5289445574286,21.5290409001004,0.989419346138285,0.999995524990073,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999941829086706,21.5199353501965,21.527803013674,21.5278871347679,0.989421105020397,0.99999609245936,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999949197819531,21.5199353501965,21.5268061479148,21.5268795997355,0.989422640949888,0.999996587902099,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.99995563312669,21.5199353501965,21.5259356156052,21.5259997528354,0.989423982209702,0.999997020476125,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999961253248795,21.5199353501965,21.5251754001587,21.5252314051267,0.989425153480793,0.999997398171151,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999966161448466,21.5199353501965,21.5245115170623,21.5245604217535,0.98942617631823,0.999997727958657,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999970447907648,21.5199353501965,21.5239317557088,21.5239744609459,0.989427069535445,0.99999801592233,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999974191384596,21.5199353501965,21.5234254541115,21.5234627462734,0.989427849571745,0.999998267371641,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999977460660953,21.5199353501965,21.5229833022935,21.5230158678915,0.989428530768662,0.99999848694076,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999980315805527,21.5199353501965,21.522597170688,21.5226256090766,0.989429125652911,0.999998678674754,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999982809277981,21.5199353501965,21.5222599603547,21.522284794818,0.989429645172742,0.999998846104699,0.989433226413886,FLOAT
