alpha,s,beta12=e^s,beta13=1,beta23=e^-s/2,x1,x2,x3,cain_x1,cain_x2,cain_x3,evidence
0.75,0.13,1.13882838332,1,0.937067463377,0.329203058106,0.332186472149,0.338610469745,0.318933960969,0.329469591356,0.351596447675,FLOAT
0.75,0.14,1.15027379886,1,0.932393819906,0.328881111318,0.332087613513,0.339031275169,0.317830583112,0.32915161593,0.353017800958,FLOAT
0.75,0.15,1.16183424273,1,0.927743486329,0.328558531603,0.331987211125,0.339454257273,0.316727896367,0.328830701819,0.354441401815,FLOAT
0.75,0.16,1.17351087099,1,0.923116346387,0.328235313451,0.331885260283,0.339879426266,0.315625917088,0.328506855119,0.355867227793,FLOAT
0.75,0.17,1.18530485132,1,0.918512284401,0.327911451389,0.331781756311,0.3403067923,0.31452466163,0.32818008207,0.3572952563,FLOAT
0.75,0.18,1.19721736312,1,0.913931185271,0.327586939975,0.331676694562,0.340736365464,0.313424146349,0.32785038905,0.358725464601,FLOAT
0.75,0.19,1.20924959766,1,0.909372934468,0.327261773802,0.33157007041,0.341168155787,0.312324387602,0.327517782576,0.360157829821,FLOAT
0.75,0.2,1.22140275816,1,0.904837418036,0.326935947502,0.331461879261,0.341602173236,0.311225401741,0.327182269309,0.36159232895,FLOAT
0.75,0.21,1.23367805996,1,0.900324522586,0.326609455741,0.331352116547,0.342038427713,0.310127205118,0.326843856044,0.363028938838,FLOAT
0.75,0.22,1.24607673059,1,0.895834135297,0.326282293221,0.331240777726,0.342476929053,0.309029814079,0.32650254972,0.364467636201,FLOAT
0.75,0.23,1.25860000993,1,0.891366143907,0.325954454683,0.331127858289,0.342917687028,0.307933244965,0.326158357412,0.365908397623,FLOAT
0.75,0.24,1.27124915032,1,0.886920436717,0.325625934907,0.331013353754,0.343360711339,0.306837514112,0.325811286335,0.367351199552,FLOAT
0.75,0.25,1.28402541669,1,0.882496902585,0.325296728711,0.330897259672,0.343806011617,0.305742637847,0.325461343843,0.368796018309,FLOAT
0.75,0.26,1.29693008667,1,0.878095430921,0.324966830954,0.330779571621,0.344253597425,0.304648632489,0.325108537427,0.370242830083,FLOAT
0.75,0.27,1.30996445073,1,0.873715911688,0.324636236535,0.330660285214,0.344703478251,0.303555514347,0.324752874716,0.371691610937,FLOAT
0.75,0.28,1.32312981234,1,0.869358235399,0.324304940392,0.330539396095,0.345155663513,0.302463299718,0.324394363477,0.373142336805,FLOAT
0.75,0.29,1.33642748803,1,0.865022293111,0.323972937508,0.330416899942,0.34561016255,0.301372004889,0.324033011613,0.374594983498,FLOAT
0.75,0.3,1.34985880758,1,0.860707976425,0.323640222907,0.330292792465,0.346066984628,0.30028164613,0.323668827165,0.376049526704,FLOAT
0.75,0.31,1.36342511413,1,0.856415177484,0.323306791655,0.33016706941,0.346526138935,0.299192239701,0.32330181831,0.377505941989,FLOAT
0.75,0.32,1.37712776434,1,0.852143788966,0.322972638864,0.330039726557,0.346987634579,0.298103801842,0.32293199336,0.378964204799,FLOAT
0.75,0.33,1.39096812846,1,0.847893704088,0.322637759689,0.329910759721,0.34745148059,0.297016348778,0.322559360763,0.380424290459,FLOAT
